You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2014/2/11 0:00 30.07
 2014/2/11 1:00 29.90
 2014/2/11 2:00 29.45
 2014/2/11 3:00 28.27
 2014/2/11 4:00 28.64
 2014/2/11 5:00 30.48
 2014/2/11 6:00 32.28
 2014/2/11 7:00 33.61
 2014/2/11 8:00 34.26
 2014/2/11 9:00 33.69
2014/2/11 10:00 34.25
2014/2/11 11:00 33.69
2014/2/11 12:00 32.61
2014/2/11 13:00 32.17
2014/2/11 14:00 32.31
2014/2/11 15:00 32.82
2014/2/11 16:00 33.24
2014/2/11 17:00 34.49
2014/2/11 18:00 33.62
2014/2/11 19:00 32.68
2014/2/11 20:00 32.02
2014/2/11 21:00 30.85
2014/2/11 22:00 29.98
2014/2/11 23:00 28.66
 2014/2/12 0:00 28.26
 2014/2/12 1:00 27.90
 2014/2/12 2:00 28.08
 2014/2/12 3:00 28.32
 2014/2/12 4:00 29.38
 2014/2/12 5:00 30.63
 2014/2/12 6:00 32.30
 2014/2/12 7:00 33.39
 2014/2/12 8:00 34.06
 2014/2/12 9:00 34.01
2014/2/12 10:00 33.81
2014/2/12 11:00 32.68
2014/2/12 12:00 32.28
2014/2/12 13:00 31.92
2014/2/12 14:00 32.22
2014/2/12 15:00 32.42
2014/2/12 16:00 32.86
2014/2/12 17:00 33.95
2014/2/12 18:00 33.33
2014/2/12 19:00 32.54
2014/2/12 20:00 31.76
2014/2/12 21:00 30.52
2014/2/12 22:00 29.41
2014/2/12 23:00 28.06
 2014/2/13 0:00 27.88
 2014/2/13 1:00 27.48
 2014/2/13 2:00 27.38
 2014/2/13 3:00 27.04
