You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2014/7/1 0:00 26.69
 2014/7/1 1:00 25.49
 2014/7/1 2:00 25.11
 2014/7/1 3:00 25.14
 2014/7/1 4:00 25.20
 2014/7/1 5:00 25.86
 2014/7/1 6:00 29.84
 2014/7/1 7:00 33.20
 2014/7/1 8:00 33.77
 2014/7/1 9:00 33.72
2014/7/1 10:00 33.88
2014/7/1 11:00 33.81
2014/7/1 12:00 33.66
2014/7/1 13:00 32.96
2014/7/1 14:00 32.59
2014/7/1 15:00 31.85
2014/7/1 16:00 31.90
2014/7/1 17:00 32.24
2014/7/1 18:00 32.66
2014/7/1 19:00 31.84
2014/7/1 20:00 31.06
2014/7/1 21:00 30.90
2014/7/1 22:00 30.26
2014/7/1 23:00 28.36
 2014/7/2 0:00 27.22
 2014/7/2 1:00 26.56
 2014/7/2 2:00 26.11
 2014/7/2 3:00 25.19
 2014/7/2 4:00 25.98
 2014/7/2 5:00 26.72
 2014/7/2 6:00 29.16
 2014/7/2 7:00 31.18
 2014/7/2 8:00 32.60
 2014/7/2 9:00 32.76
2014/7/2 10:00 32.81
2014/7/2 11:00 32.81
2014/7/2 12:00 32.70
2014/7/2 13:00 32.60
2014/7/2 14:00 32.50
2014/7/2 15:00 31.37
2014/7/2 16:00 30.68
2014/7/2 17:00 30.45
2014/7/2 18:00 29.91
2014/7/2 19:00 29.26
2014/7/2 20:00 28.49
2014/7/2 21:00 28.55
2014/7/2 22:00 28.14
2014/7/2 23:00 27.47
 2014/7/3 0:00 26.81
 2014/7/3 1:00 26.13
 2014/7/3 2:00 25.57
 2014/7/3 3:00 24.81
 2014/7/3 4:00 24.68
 2014/7/3 5:00 25.77
 2014/7/3 6:00 27.32
 2014/7/3 7:00 28.42
 2014/7/3 8:00 29.22
 2014/7/3 9:00 29.47
2014/7/3 10:00 29.78
2014/7/3 11:00 29.74
2014/7/3 12:00 29.01
2014/7/3 13:00 28.52
2014/7/3 14:00 28.19
2014/7/3 15:00 28.05
2014/7/3 16:00 27.89
2014/7/3 17:00 28.13
2014/7/3 18:00 28.07
2014/7/3 19:00 28.02
2014/7/3 20:00 27.81
2014/7/3 21:00 27.72
2014/7/3 22:00 27.67
2014/7/3 23:00 26.92
 2014/7/4 0:00 26.70
 2014/7/4 1:00 26.08
 2014/7/4 2:00 25.65
 2014/7/4 3:00 25.03
 2014/7/4 4:00 24.96
 2014/7/4 5:00 26.04
 2014/7/4 6:00 27.45
 2014/7/4 7:00 29.48
 2014/7/4 8:00 30.08
 2014/7/4 9:00 30.29
2014/7/4 10:00 30.60
2014/7/4 11:00 30.59
2014/7/4 12:00 29.91
2014/7/4 13:00 29.09
2014/7/4 14:00 28.64
2014/7/4 15:00 28.39
2014/7/4 16:00 28.19
2014/7/4 17:00 28.57
2014/7/4 18:00 28.34
2014/7/4 19:00 28.17
2014/7/4 20:00 27.85
2014/7/4 21:00 27.09
2014/7/4 22:00 27.09
2014/7/4 23:00 26.25
 2014/7/5 0:00 26.82
 2014/7/5 1:00 26.06
 2014/7/5 2:00 25.40
 2014/7/5 3:00 25.05
 2014/7/5 4:00 24.73
 2014/7/5 5:00 24.45
 2014/7/5 6:00 25.17
 2014/7/5 7:00 26.80
 2014/7/5 8:00 27.35
 2014/7/5 9:00 28.38
2014/7/5 10:00 28.80
2014/7/5 11:00 28.20
2014/7/5 12:00 26.85
2014/7/5 13:00 25.75
2014/7/5 14:00 24.67
2014/7/5 15:00 25.18
2014/7/5 16:00 26.17
2014/7/5 17:00 26.82
2014/7/5 18:00 27.33
2014/7/5 19:00 27.34
2014/7/5 20:00 26.97
2014/7/5 21:00 26.85
2014/7/5 22:00 26.97
2014/7/5 23:00 26.50
 2014/7/6 0:00 25.68
 2014/7/6 1:00 24.11
 2014/7/6 2:00 23.55
 2014/7/6 3:00 22.60
 2014/7/6 4:00 22.02
 2014/7/6 5:00 20.03
 2014/7/6 6:00 20.08
 2014/7/6 7:00 23.08
 2014/7/6 8:00 23.86
 2014/7/6 9:00 25.52
2014/7/6 10:00 25.94
2014/7/6 11:00 26.01
2014/7/6 12:00 25.68
2014/7/6 13:00 25.11
2014/7/6 14:00 25.10
2014/7/6 15:00 25.10
2014/7/6 16:00 25.13
2014/7/6 17:00 25.41
2014/7/6 18:00 26.44
2014/7/6 19:00 27.29
2014/7/6 20:00 27.07
2014/7/6 21:00 26.88
2014/7/6 22:00 26.76
2014/7/6 23:00 26.18
 2014/7/7 0:00 25.79
 2014/7/7 1:00 24.43
 2014/7/7 2:00 24.23
 2014/7/7 3:00 24.38
 2014/7/7 4:00 24.14
 2014/7/7 5:00 25.67
 2014/7/7 6:00 27.54
 2014/7/7 7:00 29.38
 2014/7/7 8:00 29.63
 2014/7/7 9:00 29.98
2014/7/7 10:00 30.20
2014/7/7 11:00 30.20
2014/7/7 12:00 29.82
2014/7/7 13:00 29.72
2014/7/7 14:00 29.47
2014/7/7 15:00 29.27
2014/7/7 16:00 29.39
2014/7/7 17:00 29.30
2014/7/7 18:00 28.78
2014/7/7 19:00 28.55
2014/7/7 20:00 28.06
2014/7/7 21:00 27.70
2014/7/7 22:00 27.52
2014/7/7 23:00 26.71And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
