You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2014/10/21 0:00 28.72
 2014/10/21 1:00 27.68
 2014/10/21 2:00 26.95
 2014/10/21 3:00 26.42
 2014/10/21 4:00 28.03
 2014/10/21 5:00 29.76
 2014/10/21 6:00 32.66
 2014/10/21 7:00 34.44
 2014/10/21 8:00 34.59
 2014/10/21 9:00 33.89
2014/10/21 10:00 33.78
2014/10/21 11:00 33.40
2014/10/21 12:00 32.76
2014/10/21 13:00 32.24
2014/10/21 14:00 31.51
2014/10/21 15:00 31.37
2014/10/21 16:00 31.23
2014/10/21 17:00 31.94
2014/10/21 18:00 32.71
2014/10/21 19:00 32.64
2014/10/21 20:00 30.78
2014/10/21 21:00 29.89
2014/10/21 22:00 29.25
2014/10/21 23:00 26.92
 2014/10/22 0:00 26.57
 2014/10/22 1:00 23.96
 2014/10/22 2:00 23.94
 2014/10/22 3:00 24.39
 2014/10/22 4:00 26.17
 2014/10/22 5:00 29.08
 2014/10/22 6:00 30.74
 2014/10/22 7:00 33.26
 2014/10/22 8:00 33.28
 2014/10/22 9:00 32.79
2014/10/22 10:00 32.87
2014/10/22 11:00 32.88
2014/10/22 12:00 32.37
2014/10/22 13:00 32.33
2014/10/22 14:00 32.47
2014/10/22 15:00 32.90
2014/10/22 16:00 32.75
2014/10/22 17:00 33.28
2014/10/22 18:00 34.74
2014/10/22 19:00 34.05
2014/10/22 20:00 32.32
2014/10/22 21:00 30.88
2014/10/22 22:00 30.08
2014/10/22 23:00 29.38
 2014/10/23 0:00 28.08
 2014/10/23 1:00 26.78
 2014/10/23 2:00 26.14
 2014/10/23 3:00 26.37
 2014/10/23 4:00 27.46
 2014/10/23 5:00 28.79
 2014/10/23 6:00 31.11
 2014/10/23 7:00 33.73
 2014/10/23 8:00 33.92
 2014/10/23 9:00 33.74
2014/10/23 10:00 33.67
2014/10/23 11:00 33.39
2014/10/23 12:00 32.98
2014/10/23 13:00 32.81
2014/10/23 14:00 32.71
2014/10/23 15:00 32.72
2014/10/23 16:00 32.80
2014/10/23 17:00 33.37
2014/10/23 18:00 33.43
2014/10/23 19:00 32.97
2014/10/23 20:00 32.03
2014/10/23 21:00 30.50
2014/10/23 22:00 29.26
2014/10/23 23:00 28.19
 2014/10/24 0:00 25.61
 2014/10/24 1:00 23.95
 2014/10/24 2:00 23.12
 2014/10/24 3:00 22.10
 2014/10/24 4:00 23.96
 2014/10/24 5:00 26.42
 2014/10/24 6:00 29.38
 2014/10/24 7:00 31.44
 2014/10/24 8:00 31.54
 2014/10/24 9:00 31.46
2014/10/24 10:00 31.18
2014/10/24 11:00 30.92
2014/10/24 12:00 30.30
2014/10/24 13:00 29.53
2014/10/24 14:00 29.77
2014/10/24 15:00 29.91
2014/10/24 16:00 29.94
2014/10/24 17:00 30.49
2014/10/24 18:00 30.89
2014/10/24 19:00 30.34
2014/10/24 20:00 28.95
2014/10/24 21:00 27.53
2014/10/24 22:00 26.28
2014/10/24 23:00 23.48
 2014/10/25 0:00 23.19
 2014/10/25 1:00 18.56
 2014/10/25 2:00 15.52
 2014/10/25 3:00 15.93
 2014/10/25 4:00 18.89
 2014/10/25 5:00 22.99
 2014/10/25 6:00 24.23
 2014/10/25 7:00 24.31
 2014/10/25 8:00 26.07
 2014/10/25 9:00 28.27
2014/10/25 10:00 28.79
2014/10/25 11:00 29.03
2014/10/25 12:00 29.01
2014/10/25 13:00 28.78
2014/10/25 14:00 28.72
2014/10/25 15:00 29.25
2014/10/25 16:00 29.93
2014/10/25 17:00 30.83
2014/10/25 18:00 31.18
2014/10/25 19:00 30.80
2014/10/25 20:00 29.49
2014/10/25 21:00 28.72
2014/10/25 22:00 27.36
2014/10/25 23:00 25.66
 2014/10/26 0:00 24.92
 2014/10/26 1:00 21.93
 2014/10/26 2:00 18.45
 2014/10/26 3:00 17.35
 2014/10/26 4:00 16.46
 2014/10/26 5:00 16.73
 2014/10/26 6:00 16.76
 2014/10/26 7:00 17.48
 2014/10/26 8:00 19.92
 2014/10/26 9:00 22.76
2014/10/26 10:00 24.06
2014/10/26 11:00 24.24
2014/10/26 12:00 23.90
2014/10/26 13:00 21.99
2014/10/26 14:00 20.59
2014/10/26 15:00 23.42
2014/10/26 16:00 25.68
2014/10/26 17:00 27.19
2014/10/26 18:00 27.79
2014/10/26 19:00 26.76
2014/10/26 20:00 25.35
2014/10/26 21:00 22.83
2014/10/26 22:00 17.99
2014/10/26 23:00  7.55
 2014/10/27 0:00  3.48
 2014/10/27 1:00  2.32
 2014/10/27 2:00  2.00
 2014/10/27 3:00  2.64
 2014/10/27 4:00  3.75
 2014/10/27 5:00 14.19
 2014/10/27 6:00 26.34
 2014/10/27 7:00 29.84
 2014/10/27 8:00 30.15
 2014/10/27 9:00 29.48
2014/10/27 10:00 29.26
2014/10/27 11:00 29.08
2014/10/27 12:00 28.59
2014/10/27 13:00 29.04
2014/10/27 14:00 29.72
2014/10/27 15:00 30.14
2014/10/27 16:00 30.54
2014/10/27 17:00 30.96
2014/10/27 18:00 30.77
2014/10/27 19:00 30.13
2014/10/27 20:00 29.08
2014/10/27 21:00 27.64
2014/10/27 22:00 24.99
2014/10/27 23:00 20.29And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
