You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2016/2/2 0:00 15.25
 2016/2/2 1:00 14.54
 2016/2/2 2:00 13.35
 2016/2/2 3:00 13.13
 2016/2/2 4:00 14.57
 2016/2/2 5:00 16.15
 2016/2/2 6:00 17.01
 2016/2/2 7:00 18.66
 2016/2/2 8:00 18.85
 2016/2/2 9:00 18.71
2016/2/2 10:00 18.46
2016/2/2 11:00 18.38
2016/2/2 12:00 18.19
2016/2/2 13:00 18.36
2016/2/2 14:00 18.31
2016/2/2 15:00 18.50
2016/2/2 16:00 18.92
2016/2/2 17:00 19.50
2016/2/2 18:00 19.25
2016/2/2 19:00 18.34
2016/2/2 20:00 17.70
2016/2/2 21:00 17.18
2016/2/2 22:00 16.26
2016/2/2 23:00 15.69
 2016/2/3 0:00 16.04
 2016/2/3 1:00 15.69
 2016/2/3 2:00 15.65
 2016/2/3 3:00 15.71
 2016/2/3 4:00 16.11
 2016/2/3 5:00 17.14
 2016/2/3 6:00 18.28
 2016/2/3 7:00 20.06
 2016/2/3 8:00 20.77
 2016/2/3 9:00 20.57
2016/2/3 10:00 20.12
2016/2/3 11:00 19.78
2016/2/3 12:00 19.05
2016/2/3 13:00 19.38
2016/2/3 14:00 19.19
2016/2/3 15:00 18.96
2016/2/3 16:00 19.67
2016/2/3 17:00 20.43
2016/2/3 18:00 20.05
2016/2/3 19:00 18.91
2016/2/3 20:00 18.17
2016/2/3 21:00 17.77
2016/2/3 22:00 17.17
2016/2/3 23:00 16.61
 2016/2/4 0:00 16.75
 2016/2/4 1:00 16.36
 2016/2/4 2:00 15.98
 2016/2/4 3:00 15.27
 2016/2/4 4:00 15.83
 2016/2/4 5:00 17.37
 2016/2/4 6:00 18.44
 2016/2/4 7:00 20.28
 2016/2/4 8:00 20.85
 2016/2/4 9:00 20.53
2016/2/4 10:00 19.98
2016/2/4 11:00 19.62
2016/2/4 12:00 19.06
2016/2/4 13:00 19.14
2016/2/4 14:00 19.08
2016/2/4 15:00 19.28
2016/2/4 16:00 19.81
2016/2/4 17:00 20.95
2016/2/4 18:00 20.85
2016/2/4 19:00 19.85
2016/2/4 20:00 18.95
2016/2/4 21:00 18.63
2016/2/4 22:00 18.08
2016/2/4 23:00 17.54
 2016/2/5 0:00 17.73
 2016/2/5 1:00 17.60
 2016/2/5 2:00 17.57
 2016/2/5 3:00 17.84
 2016/2/5 4:00 18.27
 2016/2/5 5:00 19.03
 2016/2/5 6:00 20.60
 2016/2/5 7:00 35.20
 2016/2/5 8:00 39.02
 2016/2/5 9:00 38.36
2016/2/5 10:00 27.94
2016/2/5 11:00 24.19
2016/2/5 12:00 21.83
2016/2/5 13:00 21.30
2016/2/5 14:00 20.86
2016/2/5 15:00 20.96
2016/2/5 16:00 22.77
2016/2/5 17:00 30.78
2016/2/5 18:00 25.57
2016/2/5 19:00 20.58
2016/2/5 20:00 19.52
2016/2/5 21:00 18.96
2016/2/5 22:00 18.23
2016/2/5 23:00 17.56
 2016/2/6 0:00 17.11
 2016/2/6 1:00 16.24
 2016/2/6 2:00 16.04
 2016/2/6 3:00 15.01
 2016/2/6 4:00 14.63
 2016/2/6 5:00 14.94
 2016/2/6 6:00 15.48
 2016/2/6 7:00 16.34
 2016/2/6 8:00 16.56
 2016/2/6 9:00 16.87
2016/2/6 10:00 17.00
2016/2/6 11:00 16.76
2016/2/6 12:00 16.32
2016/2/6 13:00 15.83
2016/2/6 14:00 15.63
2016/2/6 15:00 16.02
2016/2/6 16:00 16.87
2016/2/6 17:00 18.13
2016/2/6 18:00 18.06
2016/2/6 19:00 17.39
2016/2/6 20:00 16.17
2016/2/6 21:00 15.94
2016/2/6 22:00 15.47
2016/2/6 23:00 14.94
 2016/2/7 0:00 14.57
 2016/2/7 1:00 14.10
 2016/2/7 2:00 13.96
 2016/2/7 3:00 13.66
 2016/2/7 4:00 13.35
 2016/2/7 5:00 13.41
 2016/2/7 6:00 13.61
 2016/2/7 7:00 14.49
 2016/2/7 8:00 14.67
 2016/2/7 9:00 15.25
2016/2/7 10:00 15.48
2016/2/7 11:00 15.48
2016/2/7 12:00 15.29
2016/2/7 13:00 15.05
2016/2/7 14:00 14.86
2016/2/7 15:00 14.92
2016/2/7 16:00 15.09
2016/2/7 17:00 16.51
2016/2/7 18:00 17.24
2016/2/7 19:00 16.82
2016/2/7 20:00 16.24
2016/2/7 21:00 15.47
2016/2/7 22:00 15.25
2016/2/7 23:00 14.13
 2016/2/8 0:00 12.41
 2016/2/8 1:00 10.51
 2016/2/8 2:00 11.08
 2016/2/8 3:00 10.43
 2016/2/8 4:00 12.83
 2016/2/8 5:00 14.64
 2016/2/8 6:00 15.79
 2016/2/8 7:00 16.88
 2016/2/8 8:00 17.23
 2016/2/8 9:00 17.04
2016/2/8 10:00 17.00
2016/2/8 11:00 17.01
2016/2/8 12:00 16.71
2016/2/8 13:00 16.63
2016/2/8 14:00 16.66
2016/2/8 15:00 16.98
2016/2/8 16:00 17.03
2016/2/8 17:00 18.10
2016/2/8 18:00 17.98
2016/2/8 19:00 17.46
2016/2/8 20:00 16.23
2016/2/8 21:00 15.63
2016/2/8 22:00 15.07
2016/2/8 23:00 14.15And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
