You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2016/12/20 0:00 29.55
 2016/12/20 1:00 28.88
 2016/12/20 2:00 28.49
 2016/12/20 3:00 28.73
 2016/12/20 4:00 29.64
 2016/12/20 5:00 30.38
 2016/12/20 6:00 31.76
 2016/12/20 7:00 33.47
 2016/12/20 8:00 34.16
 2016/12/20 9:00 33.53
2016/12/20 10:00 33.10
2016/12/20 11:00 33.20
2016/12/20 12:00 33.40
2016/12/20 13:00 33.71
2016/12/20 14:00 33.82
2016/12/20 15:00 34.21
2016/12/20 16:00 34.25
2016/12/20 17:00 34.27
2016/12/20 18:00 33.48
2016/12/20 19:00 32.44
2016/12/20 20:00 31.94
2016/12/20 21:00 31.35
2016/12/20 22:00 30.45
2016/12/20 23:00 29.31
 2016/12/21 0:00 28.11
 2016/12/21 1:00 27.70
 2016/12/21 2:00 27.33
 2016/12/21 3:00 27.66
 2016/12/21 4:00 28.58
 2016/12/21 5:00 29.60
 2016/12/21 6:00 30.37
 2016/12/21 7:00 31.22
 2016/12/21 8:00 31.39
 2016/12/21 9:00 30.79
2016/12/21 10:00 30.55
2016/12/21 11:00 30.54
2016/12/21 12:00 30.56
2016/12/21 13:00 30.58
2016/12/21 14:00 30.70
2016/12/21 15:00 30.86
2016/12/21 16:00 30.89
2016/12/21 17:00 30.75
2016/12/21 18:00 30.65
2016/12/21 19:00 30.25
2016/12/21 20:00 29.80
2016/12/21 21:00 29.60
2016/12/21 22:00 29.01
2016/12/21 23:00 27.84
 2016/12/22 0:00 26.38
 2016/12/22 1:00 26.01
 2016/12/22 2:00 26.07
 2016/12/22 3:00 26.61
 2016/12/22 4:00 27.80
 2016/12/22 5:00 28.88
 2016/12/22 6:00 29.67
 2016/12/22 7:00 30.99
 2016/12/22 8:00 31.61
 2016/12/22 9:00 30.85
2016/12/22 10:00 30.43
2016/12/22 11:00 30.34
2016/12/22 12:00 30.61
2016/12/22 13:00 30.23
2016/12/22 14:00 30.46
2016/12/22 15:00 30.57
2016/12/22 16:00 30.57
2016/12/22 17:00 30.37
2016/12/22 18:00 30.01
2016/12/22 19:00 29.70
2016/12/22 20:00 29.42
2016/12/22 21:00 29.15
2016/12/22 22:00 28.55
2016/12/22 23:00 27.36
 2016/12/23 0:00 25.63
 2016/12/23 1:00 24.78
 2016/12/23 2:00 24.24
 2016/12/23 3:00 24.54
 2016/12/23 4:00 25.76
 2016/12/23 5:00 26.99
 2016/12/23 6:00 28.31
 2016/12/23 7:00 29.26
 2016/12/23 8:00 29.90
 2016/12/23 9:00 29.69
2016/12/23 10:00 29.53
2016/12/23 11:00 29.34
2016/12/23 12:00 29.35
2016/12/23 13:00 29.18
2016/12/23 14:00 29.13
2016/12/23 15:00 29.29
2016/12/23 16:00 29.46
2016/12/23 17:00 29.37
2016/12/23 18:00 29.07
2016/12/23 19:00 28.51
2016/12/23 20:00 28.08
2016/12/23 21:00 27.80
2016/12/23 22:00 27.17
2016/12/23 23:00 24.52
 2016/12/24 0:00 25.34
 2016/12/24 1:00 23.94
 2016/12/24 2:00 23.17
 2016/12/24 3:00 22.72
 2016/12/24 4:00 23.05
 2016/12/24 5:00 23.94
 2016/12/24 6:00 25.10
 2016/12/24 7:00 25.62
 2016/12/24 8:00 26.12
 2016/12/24 9:00 27.51
2016/12/24 10:00 27.85
2016/12/24 11:00 27.60
2016/12/24 12:00 27.19
2016/12/24 13:00 27.04
2016/12/24 14:00 26.96
2016/12/24 15:00 27.33
2016/12/24 16:00 27.66
2016/12/24 17:00 26.43
2016/12/24 18:00 25.37
2016/12/24 19:00 25.03
2016/12/24 20:00 25.05
2016/12/24 21:00 24.92
2016/12/24 22:00 25.20
2016/12/24 23:00 23.93
 2016/12/25 0:00 23.51
 2016/12/25 1:00 21.53
 2016/12/25 2:00 18.75
 2016/12/25 3:00 18.62
 2016/12/25 4:00 18.80
 2016/12/25 5:00 21.51
 2016/12/25 6:00 21.11
 2016/12/25 7:00 23.91
 2016/12/25 8:00 24.91
 2016/12/25 9:00 25.94
2016/12/25 10:00 25.94
2016/12/25 11:00 26.59
2016/12/25 12:00 26.35
2016/12/25 13:00 26.28
2016/12/25 14:00 26.60
2016/12/25 15:00 27.54
2016/12/25 16:00 28.48
2016/12/25 17:00 28.42
2016/12/25 18:00 28.17
2016/12/25 19:00 27.91
2016/12/25 20:00 27.49
2016/12/25 21:00 27.63
2016/12/25 22:00 26.87
2016/12/25 23:00 25.60
 2016/12/26 0:00 25.50
 2016/12/26 1:00 22.50
 2016/12/26 2:00 18.95
