You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date     OT
 2016/1/19 0:00  23.81
 2016/1/19 1:00  23.25
 2016/1/19 2:00  23.09
 2016/1/19 3:00  23.56
 2016/1/19 4:00  24.95
 2016/1/19 5:00  28.80
 2016/1/19 6:00  37.25
 2016/1/19 7:00  55.17
 2016/1/19 8:00  70.09
 2016/1/19 9:00  66.09
2016/1/19 10:00  61.16
2016/1/19 11:00  61.28
2016/1/19 12:00  58.98
2016/1/19 13:00  58.07
2016/1/19 14:00  57.57
2016/1/19 15:00  70.07
2016/1/19 16:00 120.08
2016/1/19 17:00 160.03
2016/1/19 18:00  99.94
2016/1/19 19:00  57.56
2016/1/19 20:00  48.24
2016/1/19 21:00  37.70
2016/1/19 22:00  32.86
2016/1/19 23:00  29.08
 2016/1/20 0:00  26.00
 2016/1/20 1:00  25.43
 2016/1/20 2:00  25.76
 2016/1/20 3:00  24.76
 2016/1/20 4:00  27.20
 2016/1/20 5:00  29.57
 2016/1/20 6:00  35.00
 2016/1/20 7:00  57.58
 2016/1/20 8:00  70.09
 2016/1/20 9:00  64.97
2016/1/20 10:00  57.57
2016/1/20 11:00  55.76
2016/1/20 12:00  57.55
2016/1/20 13:00  55.45
2016/1/20 14:00  51.86
2016/1/20 15:00  55.43
2016/1/20 16:00  84.76
2016/1/20 17:00  99.99
2016/1/20 18:00  81.02
2016/1/20 19:00  70.03
2016/1/20 20:00  50.10
2016/1/20 21:00  40.06
2016/1/20 22:00  33.52
2016/1/20 23:00  29.63
 2016/1/21 0:00  29.77
 2016/1/21 1:00  27.90
 2016/1/21 2:00  26.71
 2016/1/21 3:00  27.35
 2016/1/21 4:00  31.52
 2016/1/21 5:00  32.85
 2016/1/21 6:00  63.08
 2016/1/21 7:00 160.00
 2016/1/21 8:00 199.97
 2016/1/21 9:00 168.64
2016/1/21 10:00 120.05
2016/1/21 11:00  74.97
2016/1/21 12:00  60.01
