You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2016/6/14 0:00 25.21
 2016/6/14 1:00 24.13
 2016/6/14 2:00 23.43
 2016/6/14 3:00 22.96
 2016/6/14 4:00 23.51
 2016/6/14 5:00 24.88
 2016/6/14 6:00 27.66
 2016/6/14 7:00 29.66
 2016/6/14 8:00 30.07
 2016/6/14 9:00 30.09
2016/6/14 10:00 30.11
2016/6/14 11:00 30.13
2016/6/14 12:00 29.98
2016/6/14 13:00 29.87
2016/6/14 14:00 29.42
2016/6/14 15:00 29.21
2016/6/14 16:00 28.04
2016/6/14 17:00 28.02
2016/6/14 18:00 28.52
2016/6/14 19:00 29.22
2016/6/14 20:00 29.29
2016/6/14 21:00 27.81
2016/6/14 22:00 27.10
2016/6/14 23:00 26.13
 2016/6/15 0:00 26.55
 2016/6/15 1:00 25.20
 2016/6/15 2:00 24.82
 2016/6/15 3:00 24.55
 2016/6/15 4:00 24.66
 2016/6/15 5:00 26.55
 2016/6/15 6:00 29.14
 2016/6/15 7:00 30.84
 2016/6/15 8:00 31.95
 2016/6/15 9:00 31.95
2016/6/15 10:00 31.00
2016/6/15 11:00 30.91
2016/6/15 12:00 30.86
2016/6/15 13:00 30.47
2016/6/15 14:00 30.39
2016/6/15 15:00 30.04
2016/6/15 16:00 28.66
2016/6/15 17:00 28.73
2016/6/15 18:00 29.06
2016/6/15 19:00 29.52
2016/6/15 20:00 29.00
2016/6/15 21:00 27.96
2016/6/15 22:00 27.64
2016/6/15 23:00 26.66
 2016/6/16 0:00 26.09
 2016/6/16 1:00 25.40
 2016/6/16 2:00 25.15
 2016/6/16 3:00 24.32
 2016/6/16 4:00 24.75
 2016/6/16 5:00 25.94
 2016/6/16 6:00 28.50
 2016/6/16 7:00 30.48
 2016/6/16 8:00 31.68
 2016/6/16 9:00 31.35
2016/6/16 10:00 31.19
2016/6/16 11:00 30.92
2016/6/16 12:00 30.60
2016/6/16 13:00 30.36
2016/6/16 14:00 30.30
2016/6/16 15:00 30.08
2016/6/16 16:00 29.59
2016/6/16 17:00 29.45
2016/6/16 18:00 29.61
2016/6/16 19:00 29.50
2016/6/16 20:00 29.22
2016/6/16 21:00 28.52
2016/6/16 22:00 27.91
2016/6/16 23:00 26.77
 2016/6/17 0:00 25.60
 2016/6/17 1:00 24.89
 2016/6/17 2:00 24.36
 2016/6/17 3:00 24.11
 2016/6/17 4:00 24.14
 2016/6/17 5:00 25.31
