You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
  2016/6/7 0:00 23.63
  2016/6/7 1:00 23.05
  2016/6/7 2:00 22.66
  2016/6/7 3:00 22.38
  2016/6/7 4:00 22.30
  2016/6/7 5:00 23.19
  2016/6/7 6:00 26.72
  2016/6/7 7:00 29.56
  2016/6/7 8:00 30.84
  2016/6/7 9:00 30.87
 2016/6/7 10:00 30.81
 2016/6/7 11:00 30.71
 2016/6/7 12:00 30.10
 2016/6/7 13:00 30.03
 2016/6/7 14:00 29.93
 2016/6/7 15:00 29.31
 2016/6/7 16:00 27.84
 2016/6/7 17:00 28.33
 2016/6/7 18:00 29.20
 2016/6/7 19:00 29.60
 2016/6/7 20:00 29.02
 2016/6/7 21:00 26.65
 2016/6/7 22:00 26.42
 2016/6/7 23:00 24.38
  2016/6/8 0:00 24.23
  2016/6/8 1:00 23.32
  2016/6/8 2:00 22.70
  2016/6/8 3:00 21.87
  2016/6/8 4:00 21.76
  2016/6/8 5:00 23.16
  2016/6/8 6:00 25.87
  2016/6/8 7:00 28.92
  2016/6/8 8:00 29.88
  2016/6/8 9:00 29.86
 2016/6/8 10:00 29.92
 2016/6/8 11:00 29.94
 2016/6/8 12:00 29.02
 2016/6/8 13:00 28.78
 2016/6/8 14:00 28.26
 2016/6/8 15:00 27.60
 2016/6/8 16:00 26.64
 2016/6/8 17:00 26.50
 2016/6/8 18:00 27.03
 2016/6/8 19:00 27.66
 2016/6/8 20:00 27.00
 2016/6/8 21:00 26.76
 2016/6/8 22:00 26.03
 2016/6/8 23:00 24.63
  2016/6/9 0:00 23.67
  2016/6/9 1:00 22.05
  2016/6/9 2:00 20.95
  2016/6/9 3:00 20.80
  2016/6/9 4:00 21.26
  2016/6/9 5:00 23.11
  2016/6/9 6:00 25.96
  2016/6/9 7:00 29.60
  2016/6/9 8:00 30.40
  2016/6/9 9:00 30.38
 2016/6/9 10:00 30.34
 2016/6/9 11:00 30.04
 2016/6/9 12:00 29.79
 2016/6/9 13:00 29.74
 2016/6/9 14:00 29.83
 2016/6/9 15:00 29.46
 2016/6/9 16:00 28.27
 2016/6/9 17:00 28.50
 2016/6/9 18:00 28.95
 2016/6/9 19:00 29.15
 2016/6/9 20:00 28.34
 2016/6/9 21:00 27.08
 2016/6/9 22:00 26.30
 2016/6/9 23:00 25.16
 2016/6/10 0:00 23.98
 2016/6/10 1:00 23.01
 2016/6/10 2:00 21.51
 2016/6/10 3:00 20.03
 2016/6/10 4:00 21.33
 2016/6/10 5:00 23.57
 2016/6/10 6:00 26.53
 2016/6/10 7:00 28.47
 2016/6/10 8:00 29.42
 2016/6/10 9:00 29.57
2016/6/10 10:00 29.42
2016/6/10 11:00 28.76
2016/6/10 12:00 28.38
2016/6/10 13:00 28.17
2016/6/10 14:00 27.90
2016/6/10 15:00 26.89
2016/6/10 16:00 26.61
2016/6/10 17:00 26.97
2016/6/10 18:00 27.79
2016/6/10 19:00 27.92
2016/6/10 20:00 27.57
2016/6/10 21:00 27.76
2016/6/10 22:00 27.76
2016/6/10 23:00 26.34
 2016/6/11 0:00 24.87
 2016/6/11 1:00 24.20
 2016/6/11 2:00 23.68
 2016/6/11 3:00 23.30
 2016/6/11 4:00 23.18
 2016/6/11 5:00 23.55
 2016/6/11 6:00 24.06
 2016/6/11 7:00 24.58
 2016/6/11 8:00 25.70
 2016/6/11 9:00 26.95
2016/6/11 10:00 27.54
2016/6/11 11:00 27.59
2016/6/11 12:00 27.01
2016/6/11 13:00 25.97
2016/6/11 14:00 25.21
2016/6/11 15:00 25.00
2016/6/11 16:00 25.49
2016/6/11 17:00 26.93
2016/6/11 18:00 27.37
2016/6/11 19:00 27.55
2016/6/11 20:00 27.47
2016/6/11 21:00 26.54
2016/6/11 22:00 27.08
2016/6/11 23:00 26.08
 2016/6/12 0:00 25.03
 2016/6/12 1:00 24.39
 2016/6/12 2:00 23.79
 2016/6/12 3:00 23.71
 2016/6/12 4:00 23.83
 2016/6/12 5:00 23.63
 2016/6/12 6:00 23.97
 2016/6/12 7:00 23.96
 2016/6/12 8:00 24.48
 2016/6/12 9:00 24.57
2016/6/12 10:00 25.10
