You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
  2013/6/4 0:00 32.81
  2013/6/4 1:00 32.00
  2013/6/4 2:00 30.35
  2013/6/4 3:00 29.74
  2013/6/4 4:00 30.09
  2013/6/4 5:00 32.77
  2013/6/4 6:00 38.53
  2013/6/4 7:00 41.49
  2013/6/4 8:00 44.49
  2013/6/4 9:00 44.10
 2013/6/4 10:00 44.76
 2013/6/4 11:00 44.04
 2013/6/4 12:00 42.98
 2013/6/4 13:00 42.66
 2013/6/4 14:00 41.03
 2013/6/4 15:00 40.86
 2013/6/4 16:00 39.77
 2013/6/4 17:00 39.77
 2013/6/4 18:00 40.19
 2013/6/4 19:00 40.94
 2013/6/4 20:00 40.96
 2013/6/4 21:00 39.95
 2013/6/4 22:00 39.82
 2013/6/4 23:00 36.51
  2013/6/5 0:00 35.93
  2013/6/5 1:00 35.28
  2013/6/5 2:00 34.46
  2013/6/5 3:00 34.17
  2013/6/5 4:00 34.21
  2013/6/5 5:00 36.34
  2013/6/5 6:00 40.16
  2013/6/5 7:00 44.58
  2013/6/5 8:00 49.99
  2013/6/5 9:00 46.76
 2013/6/5 10:00 43.93
 2013/6/5 11:00 42.85
 2013/6/5 12:00 42.55
 2013/6/5 13:00 42.03
 2013/6/5 14:00 40.30
 2013/6/5 15:00 39.63
 2013/6/5 16:00 39.20
 2013/6/5 17:00 39.01
 2013/6/5 18:00 40.24
 2013/6/5 19:00 40.64
 2013/6/5 20:00 39.69
 2013/6/5 21:00 39.77
 2013/6/5 22:00 38.14
 2013/6/5 23:00 36.48
  2013/6/6 0:00 37.76
  2013/6/6 1:00 36.94
  2013/6/6 2:00 35.73
  2013/6/6 3:00 35.47
  2013/6/6 4:00 35.96
  2013/6/6 5:00 38.07
  2013/6/6 6:00 39.95
  2013/6/6 7:00 45.04
  2013/6/6 8:00 45.23
  2013/6/6 9:00 43.37
 2013/6/6 10:00 44.74
 2013/6/6 11:00 44.89
 2013/6/6 12:00 43.51
 2013/6/6 13:00 42.85
 2013/6/6 14:00 40.92
 2013/6/6 15:00 40.27
 2013/6/6 16:00 39.74
 2013/6/6 17:00 39.73
 2013/6/6 18:00 40.29
 2013/6/6 19:00 40.37
 2013/6/6 20:00 40.36
 2013/6/6 21:00 39.66
 2013/6/6 22:00 39.24
 2013/6/6 23:00 38.04
  2013/6/7 0:00 38.51
  2013/6/7 1:00 37.76
  2013/6/7 2:00 37.08
  2013/6/7 3:00 36.38
  2013/6/7 4:00 37.23
  2013/6/7 5:00 38.37
  2013/6/7 6:00 40.19
  2013/6/7 7:00 44.63
  2013/6/7 8:00 46.04
  2013/6/7 9:00 44.65
