You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2013/3/12 0:00 41.85
 2013/3/12 1:00 41.25
 2013/3/12 2:00 41.04
 2013/3/12 3:00 41.36
 2013/3/12 4:00 41.87
 2013/3/12 5:00 42.93
 2013/3/12 6:00 45.06
 2013/3/12 7:00 56.91
 2013/3/12 8:00 59.27
 2013/3/12 9:00 54.91
2013/3/12 10:00 51.72
2013/3/12 11:00 48.12
2013/3/12 12:00 45.45
2013/3/12 13:00 44.97
2013/3/12 14:00 44.48
2013/3/12 15:00 44.94
2013/3/12 16:00 44.74
2013/3/12 17:00 49.31
2013/3/12 18:00 59.22
2013/3/12 19:00 55.01
2013/3/12 20:00 47.90
2013/3/12 21:00 44.85
2013/3/12 22:00 43.50
2013/3/12 23:00 41.72
 2013/3/13 0:00 41.44
 2013/3/13 1:00 40.87
 2013/3/13 2:00 40.90
 2013/3/13 3:00 41.07
 2013/3/13 4:00 41.60
 2013/3/13 5:00 43.18
 2013/3/13 6:00 46.72
 2013/3/13 7:00 61.88
 2013/3/13 8:00 73.96
 2013/3/13 9:00 75.54
2013/3/13 10:00 61.39
2013/3/13 11:00 48.52
2013/3/13 12:00 48.04
2013/3/13 13:00 46.93
2013/3/13 14:00 47.66
2013/3/13 15:00 46.60
2013/3/13 16:00 45.84
2013/3/13 17:00 50.39
2013/3/13 18:00 59.28
2013/3/13 19:00 59.63
2013/3/13 20:00 50.08
2013/3/13 21:00 45.75
2013/3/13 22:00 43.54
2013/3/13 23:00 41.97
 2013/3/14 0:00 42.80
 2013/3/14 1:00 42.00
 2013/3/14 2:00 42.15
 2013/3/14 3:00 42.69
 2013/3/14 4:00 43.52
 2013/3/14 5:00 45.11
 2013/3/14 6:00 54.68
 2013/3/14 7:00 83.92
 2013/3/14 8:00 84.41
 2013/3/14 9:00 63.98
2013/3/14 10:00 57.04
2013/3/14 11:00 50.18
2013/3/14 12:00 46.03
2013/3/14 13:00 45.68
2013/3/14 14:00 45.39
2013/3/14 15:00 45.91
2013/3/14 16:00 47.88
2013/3/14 17:00 59.74
2013/3/14 18:00 72.82
2013/3/14 19:00 74.93
2013/3/14 20:00 58.09
2013/3/14 21:00 47.24
2013/3/14 22:00 44.39
2013/3/14 23:00 42.45
 2013/3/15 0:00 43.15
 2013/3/15 1:00 42.99
 2013/3/15 2:00 43.12
 2013/3/15 3:00 43.55
 2013/3/15 4:00 43.91
 2013/3/15 5:00 45.02
 2013/3/15 6:00 48.49
 2013/3/15 7:00 71.64
 2013/3/15 8:00 75.06
 2013/3/15 9:00 65.47
2013/3/15 10:00 53.09
2013/3/15 11:00 47.90
2013/3/15 12:00 44.96
2013/3/15 13:00 43.96
2013/3/15 14:00 43.80
2013/3/15 15:00 43.27
2013/3/15 16:00 43.47
2013/3/15 17:00 45.86
2013/3/15 18:00 54.97
2013/3/15 19:00 50.76
2013/3/15 20:00 44.64
2013/3/15 21:00 43.13
2013/3/15 22:00 42.24
2013/3/15 23:00 41.67
 2013/3/16 0:00 42.62
 2013/3/16 1:00 42.45
 2013/3/16 2:00 42.03
 2013/3/16 3:00 41.74
 2013/3/16 4:00 41.26
 2013/3/16 5:00 41.84
 2013/3/16 6:00 42.41
 2013/3/16 7:00 43.08
 2013/3/16 8:00 42.80
 2013/3/16 9:00 42.89
2013/3/16 10:00 42.63
2013/3/16 11:00 42.41
2013/3/16 12:00 41.77
2013/3/16 13:00 41.19
2013/3/16 14:00 40.75
2013/3/16 15:00 40.89
2013/3/16 16:00 41.24
2013/3/16 17:00 43.19
2013/3/16 18:00 45.29
2013/3/16 19:00 45.38
2013/3/16 20:00 43.05
2013/3/16 21:00 42.29
2013/3/16 22:00 42.18
2013/3/16 23:00 41.26
 2013/3/17 0:00 42.11
 2013/3/17 1:00 41.78
 2013/3/17 2:00 41.03
 2013/3/17 3:00 40.51
 2013/3/17 4:00 40.65
 2013/3/17 5:00 40.96
 2013/3/17 6:00 40.69
 2013/3/17 7:00 40.61
 2013/3/17 8:00 40.59
 2013/3/17 9:00 41.03
2013/3/17 10:00 41.32
2013/3/17 11:00 41.08
2013/3/17 12:00 40.98
2013/3/17 13:00 40.81
2013/3/17 14:00 40.77
2013/3/17 15:00 40.72
2013/3/17 16:00 40.70
2013/3/17 17:00 41.19
2013/3/17 18:00 42.57
2013/3/17 19:00 42.95
2013/3/17 20:00 42.21
2013/3/17 21:00 41.87
2013/3/17 22:00 41.36
2013/3/17 23:00 41.12
 2013/3/18 0:00 40.42
 2013/3/18 1:00 39.70
 2013/3/18 2:00 39.46
 2013/3/18 3:00 39.93
 2013/3/18 4:00 40.62
 2013/3/18 5:00 42.33
 2013/3/18 6:00 43.40
 2013/3/18 7:00 44.38
 2013/3/18 8:00 44.52
 2013/3/18 9:00 44.27
2013/3/18 10:00 43.97
2013/3/18 11:00 43.84
2013/3/18 12:00 43.88
2013/3/18 13:00 44.24
2013/3/18 14:00 44.28
2013/3/18 15:00 43.95
2013/3/18 16:00 43.64
2013/3/18 17:00 44.18
2013/3/18 18:00 44.85
2013/3/18 19:00 44.62
2013/3/18 20:00 43.60
2013/3/18 21:00 42.85
2013/3/18 22:00 41.33
2013/3/18 23:00 40.62And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
