You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2015/2/3 0:00 28.74
 2015/2/3 1:00 28.23
 2015/2/3 2:00 28.05
 2015/2/3 3:00 28.08
 2015/2/3 4:00 28.21
 2015/2/3 5:00 29.42
 2015/2/3 6:00 32.04
 2015/2/3 7:00 45.01
 2015/2/3 8:00 49.87
 2015/2/3 9:00 48.85
2015/2/3 10:00 47.86
2015/2/3 11:00 39.03
2015/2/3 12:00 35.02
2015/2/3 13:00 35.66
2015/2/3 14:00 35.04
2015/2/3 15:00 36.32
2015/2/3 16:00 45.63
2015/2/3 17:00 55.05
2015/2/3 18:00 54.15
2015/2/3 19:00 40.31
2015/2/3 20:00 33.07
2015/2/3 21:00 31.23
2015/2/3 22:00 30.30
2015/2/3 23:00 29.46
 2015/2/4 0:00 29.76
 2015/2/4 1:00 29.30
 2015/2/4 2:00 29.12
 2015/2/4 3:00 29.18
 2015/2/4 4:00 29.76
 2015/2/4 5:00 31.08
 2015/2/4 6:00 35.82
 2015/2/4 7:00 49.58
 2015/2/4 8:00 61.40
 2015/2/4 9:00 61.08
2015/2/4 10:00 59.36
2015/2/4 11:00 50.03
2015/2/4 12:00 46.02
2015/2/4 13:00 49.91
2015/2/4 14:00 47.54
2015/2/4 15:00 48.35
2015/2/4 16:00 48.61
2015/2/4 17:00 59.33
2015/2/4 18:00 61.63
2015/2/4 19:00 45.03
2015/2/4 20:00 38.56
2015/2/4 21:00 34.36
2015/2/4 22:00 31.81
2015/2/4 23:00 30.46
 2015/2/5 0:00 30.25
 2015/2/5 1:00 29.81
 2015/2/5 2:00 29.57
 2015/2/5 3:00 29.51
 2015/2/5 4:00 29.78
 2015/2/5 5:00 30.72
 2015/2/5 6:00 35.74
 2015/2/5 7:00 46.92
 2015/2/5 8:00 55.04
 2015/2/5 9:00 50.98
2015/2/5 10:00 48.02
2015/2/5 11:00 39.96
2015/2/5 12:00 35.30
2015/2/5 13:00 36.96
2015/2/5 14:00 34.94
2015/2/5 15:00 35.23
2015/2/5 16:00 38.97
2015/2/5 17:00 44.32
2015/2/5 18:00 40.63
2015/2/5 19:00 32.35
2015/2/5 20:00 31.34
2015/2/5 21:00 30.51
2015/2/5 22:00 29.70
2015/2/5 23:00 28.99
 2015/2/6 0:00 28.71
 2015/2/6 1:00 28.12
 2015/2/6 2:00 27.73
 2015/2/6 3:00 27.70
 2015/2/6 4:00 28.22
 2015/2/6 5:00 29.03
 2015/2/6 6:00 30.40
 2015/2/6 7:00 34.60
 2015/2/6 8:00 38.86
 2015/2/6 9:00 38.64
2015/2/6 10:00 35.70
2015/2/6 11:00 31.45
2015/2/6 12:00 30.59
2015/2/6 13:00 30.42
2015/2/6 14:00 30.21
2015/2/6 15:00 30.35
2015/2/6 16:00 30.81
2015/2/6 17:00 33.26
2015/2/6 18:00 32.34
2015/2/6 19:00 30.01
2015/2/6 20:00 29.39
2015/2/6 21:00 29.12
2015/2/6 22:00 28.69
2015/2/6 23:00 28.30
 2015/2/7 0:00 27.79
 2015/2/7 1:00 27.36
 2015/2/7 2:00 26.67
 2015/2/7 3:00 26.32
 2015/2/7 4:00 26.13
 2015/2/7 5:00 26.01
 2015/2/7 6:00 26.12
 2015/2/7 7:00 26.98
 2015/2/7 8:00 27.16
 2015/2/7 9:00 27.58
2015/2/7 10:00 27.74
2015/2/7 11:00 27.48
2015/2/7 12:00 26.89
2015/2/7 13:00 26.23
2015/2/7 14:00 25.94
2015/2/7 15:00 25.99
2015/2/7 16:00 26.96
2015/2/7 17:00 27.95
2015/2/7 18:00 27.98
2015/2/7 19:00 27.31
2015/2/7 20:00 26.57
2015/2/7 21:00 26.23
2015/2/7 22:00 25.82
2015/2/7 23:00 24.79
 2015/2/8 0:00 25.23
 2015/2/8 1:00 24.89
 2015/2/8 2:00 24.68
 2015/2/8 3:00 24.71
 2015/2/8 4:00 24.88
 2015/2/8 5:00 25.14
 2015/2/8 6:00 25.42
 2015/2/8 7:00 25.67
 2015/2/8 8:00 25.95
 2015/2/8 9:00 26.39
2015/2/8 10:00 26.99
2015/2/8 11:00 27.10
2015/2/8 12:00 27.05
2015/2/8 13:00 27.10
2015/2/8 14:00 27.18
2015/2/8 15:00 27.39
2015/2/8 16:00 28.29
2015/2/8 17:00 29.70
2015/2/8 18:00 29.81
2015/2/8 19:00 29.29
2015/2/8 20:00 28.31
2015/2/8 21:00 27.80
2015/2/8 22:00 27.31
2015/2/8 23:00 26.38
 2015/2/9 0:00 25.87
 2015/2/9 1:00 25.21
 2015/2/9 2:00 24.92
 2015/2/9 3:00 25.08
 2015/2/9 4:00 25.84
 2015/2/9 5:00 26.95
 2015/2/9 6:00 28.03
 2015/2/9 7:00 29.30
 2015/2/9 8:00 30.14
 2015/2/9 9:00 30.29
2015/2/9 10:00 30.21
2015/2/9 11:00 29.71
2015/2/9 12:00 29.41
2015/2/9 13:00 29.55
2015/2/9 14:00 29.42
2015/2/9 15:00 29.37
2015/2/9 16:00 29.85
2015/2/9 17:00 30.87
2015/2/9 18:00 30.61
2015/2/9 19:00 29.65
2015/2/9 20:00 28.70
2015/2/9 21:00 28.36
2015/2/9 22:00 27.93
2015/2/9 23:00 27.17And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
