You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date     OT
 2014/3/25 0:00 26.030
 2014/3/25 1:00 25.770
 2014/3/25 2:00 25.710
 2014/3/25 3:00 25.910
 2014/3/25 4:00 26.200
 2014/3/25 5:00 27.300
 2014/3/25 6:00 28.380
 2014/3/25 7:00 31.440
 2014/3/25 8:00 32.900
 2014/3/25 9:00 31.070
2014/3/25 10:00 29.890
2014/3/25 11:00 28.490
2014/3/25 12:00 27.650
2014/3/25 13:00 27.040
2014/3/25 14:00 26.550
2014/3/25 15:00 26.420
2014/3/25 16:00 26.280
2014/3/25 17:00 26.730
2014/3/25 18:00 26.950
2014/3/25 19:00 26.950
2014/3/25 20:00 26.460
2014/3/25 21:00 25.930
2014/3/25 22:00 25.300
2014/3/25 23:00 24.360
 2014/3/26 0:00 24.650
 2014/3/26 1:00 24.110
 2014/3/26 2:00 24.310
 2014/3/26 3:00 24.910
 2014/3/26 4:00 25.640
 2014/3/26 5:00 26.420
 2014/3/26 6:00 27.090
 2014/3/26 7:00 28.530
 2014/3/26 8:00 29.690
 2014/3/26 9:00 29.230
2014/3/26 10:00 28.580
2014/3/26 11:00 28.190
2014/3/26 12:00 27.940
2014/3/26 13:00 27.790
2014/3/26 14:00 27.530
2014/3/26 15:00 27.440
2014/3/26 16:00 27.390
2014/3/26 17:00 27.880
2014/3/26 18:00 28.970
2014/3/26 19:00 29.310
2014/3/26 20:00 28.900
2014/3/26 21:00 28.000
2014/3/26 22:00 26.970
2014/3/26 23:00 26.440
 2014/3/27 0:00 26.030
 2014/3/27 1:00 25.730
 2014/3/27 2:00 25.090
 2014/3/27 3:00 25.790
 2014/3/27 4:00 26.220
 2014/3/27 5:00 27.160
 2014/3/27 6:00 29.220
 2014/3/27 7:00 33.320
 2014/3/27 8:00 32.330
 2014/3/27 9:00 29.970
2014/3/27 10:00 28.170
2014/3/27 11:00 27.700
2014/3/27 12:00 27.220
2014/3/27 13:00 27.180
2014/3/27 14:00 27.400
2014/3/27 15:00 27.940
2014/3/27 16:00 27.910
2014/3/27 17:00 28.450
2014/3/27 18:00 29.530
2014/3/27 19:00 30.020
2014/3/27 20:00 28.840
2014/3/27 21:00 28.480
2014/3/27 22:00 27.400
2014/3/27 23:00 26.910
 2014/3/28 0:00 27.020
 2014/3/28 1:00 26.690
 2014/3/28 2:00 26.250
 2014/3/28 3:00 26.590
 2014/3/28 4:00 27.460
 2014/3/28 5:00 28.010
 2014/3/28 6:00 29.570
 2014/3/28 7:00 34.050
 2014/3/28 8:00 35.180
 2014/3/28 9:00 31.700
2014/3/28 10:00 29.970
2014/3/28 11:00 29.540
2014/3/28 12:00 28.680
2014/3/28 13:00 28.190
2014/3/28 14:00 27.890
2014/3/28 15:00 27.660
2014/3/28 16:00 27.570
2014/3/28 17:00 27.810
2014/3/28 18:00 28.180
2014/3/28 19:00 28.130
2014/3/28 20:00 27.890
2014/3/28 21:00 27.670
2014/3/28 22:00 27.010
2014/3/28 23:00 26.880
 2014/3/29 0:00 26.860
 2014/3/29 1:00 26.590
 2014/3/29 2:00 26.270
 2014/3/29 3:00 26.320
 2014/3/29 4:00 26.690
 2014/3/29 5:00 27.100
