You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2013/6/18 0:00 32.40
 2013/6/18 1:00 31.59
 2013/6/18 2:00 30.70
 2013/6/18 3:00 30.78
 2013/6/18 4:00 30.77
 2013/6/18 5:00 32.25
 2013/6/18 6:00 35.32
 2013/6/18 7:00 37.77
 2013/6/18 8:00 39.24
 2013/6/18 9:00 39.22
2013/6/18 10:00 38.80
2013/6/18 11:00 38.63
2013/6/18 12:00 38.49
2013/6/18 13:00 38.38
2013/6/18 14:00 37.83
2013/6/18 15:00 36.95
2013/6/18 16:00 36.91
2013/6/18 17:00 36.94
2013/6/18 18:00 36.99
2013/6/18 19:00 37.92
2013/6/18 20:00 37.51
2013/6/18 21:00 36.82
2013/6/18 22:00 36.63
2013/6/18 23:00 33.83
 2013/6/19 0:00 30.94
 2013/6/19 1:00 29.64
 2013/6/19 2:00 27.98
 2013/6/19 3:00 27.13
 2013/6/19 4:00 27.40
 2013/6/19 5:00 30.28
 2013/6/19 6:00 34.13
 2013/6/19 7:00 36.80
 2013/6/19 8:00 37.90
 2013/6/19 9:00 37.90
2013/6/19 10:00 37.71
2013/6/19 11:00 37.44
2013/6/19 12:00 35.94
2013/6/19 13:00 35.67
2013/6/19 14:00 35.47
2013/6/19 15:00 35.51
2013/6/19 16:00 35.43
2013/6/19 17:00 35.99
2013/6/19 18:00 36.69
2013/6/19 19:00 36.36
2013/6/19 20:00 35.49
2013/6/19 21:00 35.14
2013/6/19 22:00 34.86
2013/6/19 23:00 31.30
 2013/6/20 0:00 29.58
 2013/6/20 1:00 26.38
 2013/6/20 2:00 24.46
 2013/6/20 3:00 23.96
 2013/6/20 4:00 24.62
 2013/6/20 5:00 29.08
 2013/6/20 6:00 33.03
 2013/6/20 7:00 38.77
 2013/6/20 8:00 39.70
 2013/6/20 9:00 39.98
2013/6/20 10:00 39.75
2013/6/20 11:00 39.54
2013/6/20 12:00 38.47
2013/6/20 13:00 37.85
2013/6/20 14:00 36.53
2013/6/20 15:00 36.28
2013/6/20 16:00 35.82
2013/6/20 17:00 36.65
2013/6/20 18:00 38.01
2013/6/20 19:00 37.66
2013/6/20 20:00 35.08
2013/6/20 21:00 34.00
2013/6/20 22:00 34.18
2013/6/20 23:00 30.72
 2013/6/21 0:00 29.48
 2013/6/21 1:00 26.54
 2013/6/21 2:00 22.29
 2013/6/21 3:00 17.33
 2013/6/21 4:00 15.84
 2013/6/21 5:00 24.17
 2013/6/21 6:00 30.24
 2013/6/21 7:00 34.27
 2013/6/21 8:00 35.80
 2013/6/21 9:00 34.36
2013/6/21 10:00 33.84
2013/6/21 11:00 33.03
2013/6/21 12:00 32.28
2013/6/21 13:00 31.21
2013/6/21 14:00 29.74
2013/6/21 15:00 28.00
2013/6/21 16:00 27.28
2013/6/21 17:00 30.56
2013/6/21 18:00 31.77
2013/6/21 19:00 31.14
2013/6/21 20:00 30.81
2013/6/21 21:00 30.46
2013/6/21 22:00 30.38
2013/6/21 23:00 28.65
 2013/6/22 0:00 19.84
 2013/6/22 1:00 10.99
 2013/6/22 2:00  8.17
 2013/6/22 3:00  7.73
 2013/6/22 4:00  5.78
 2013/6/22 5:00  3.72
 2013/6/22 6:00  6.84
 2013/6/22 7:00 14.08
 2013/6/22 8:00 20.12
 2013/6/22 9:00 22.02
2013/6/22 10:00 22.61
2013/6/22 11:00 21.57
2013/6/22 12:00 21.16
2013/6/22 13:00 19.20
2013/6/22 14:00 15.92
2013/6/22 15:00 14.95
2013/6/22 16:00 19.20
2013/6/22 17:00 21.62
2013/6/22 18:00 24.83
2013/6/22 19:00 26.44
2013/6/22 20:00 24.25
2013/6/22 21:00 22.62
2013/6/22 22:00 23.60
2013/6/22 23:00 22.16
 2013/6/23 0:00 10.63
