You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
  2015/7/7 0:00  5.75
  2015/7/7 1:00  5.93
  2015/7/7 2:00  5.16
  2015/7/7 3:00  5.10
  2015/7/7 4:00  4.77
  2015/7/7 5:00  7.78
  2015/7/7 6:00 10.29
  2015/7/7 7:00 12.21
  2015/7/7 8:00 12.58
  2015/7/7 9:00 12.99
 2015/7/7 10:00 13.75
 2015/7/7 11:00 13.80
 2015/7/7 12:00 13.45
 2015/7/7 13:00 12.85
 2015/7/7 14:00 12.56
 2015/7/7 15:00 12.39
 2015/7/7 16:00 12.47
 2015/7/7 17:00 12.79
 2015/7/7 18:00 12.91
 2015/7/7 19:00 12.88
 2015/7/7 20:00 12.28
 2015/7/7 21:00 12.01
 2015/7/7 22:00 11.57
 2015/7/7 23:00 10.67
  2015/7/8 0:00  8.12
  2015/7/8 1:00  6.88
  2015/7/8 2:00  6.11
  2015/7/8 3:00  5.28
  2015/7/8 4:00  4.93
  2015/7/8 5:00  6.85
  2015/7/8 6:00  8.81
  2015/7/8 7:00 10.13
  2015/7/8 8:00 11.38
  2015/7/8 9:00 11.63
 2015/7/8 10:00 11.84
 2015/7/8 11:00 11.49
 2015/7/8 12:00 10.98
 2015/7/8 13:00 10.72
 2015/7/8 14:00 10.32
 2015/7/8 15:00  9.81
 2015/7/8 16:00  9.52
 2015/7/8 17:00  9.36
 2015/7/8 18:00  9.50
 2015/7/8 19:00  8.97
 2015/7/8 20:00  8.20
 2015/7/8 21:00  7.86
 2015/7/8 22:00  7.76
 2015/7/8 23:00  5.49
  2015/7/9 0:00  4.35
  2015/7/9 1:00  3.96
  2015/7/9 2:00  3.58
  2015/7/9 3:00  3.31
  2015/7/9 4:00  3.30
  2015/7/9 5:00  4.00
  2015/7/9 6:00  5.43
  2015/7/9 7:00  7.18
  2015/7/9 8:00  7.76
  2015/7/9 9:00  8.39
 2015/7/9 10:00  8.60
 2015/7/9 11:00  8.58
 2015/7/9 12:00  8.39
 2015/7/9 13:00  8.15
 2015/7/9 14:00  7.91
 2015/7/9 15:00  7.17
 2015/7/9 16:00  7.03
 2015/7/9 17:00  7.19
 2015/7/9 18:00  7.02
 2015/7/9 19:00  6.57
 2015/7/9 20:00  6.07
 2015/7/9 21:00  5.71
 2015/7/9 22:00  5.46
 2015/7/9 23:00  4.50
 2015/7/10 0:00  3.86
 2015/7/10 1:00  3.54
 2015/7/10 2:00  3.27
 2015/7/10 3:00  3.06
 2015/7/10 4:00  3.06
 2015/7/10 5:00  3.71
 2015/7/10 6:00  5.00
 2015/7/10 7:00  6.54
 2015/7/10 8:00  7.47
 2015/7/10 9:00  7.97
2015/7/10 10:00  8.12
2015/7/10 11:00  8.00
2015/7/10 12:00  7.66
2015/7/10 13:00  7.43
2015/7/10 14:00  7.10
2015/7/10 15:00  6.74
2015/7/10 16:00  6.97
2015/7/10 17:00  7.21
2015/7/10 18:00  6.95
2015/7/10 19:00  7.00
2015/7/10 20:00  7.24
2015/7/10 21:00  7.37
2015/7/10 22:00  8.08
2015/7/10 23:00  7.90
 2015/7/11 0:00  7.40
 2015/7/11 1:00  6.98
 2015/7/11 2:00  6.76
 2015/7/11 3:00  6.57
 2015/7/11 4:00  6.18
 2015/7/11 5:00  6.48
 2015/7/11 6:00  6.77
 2015/7/11 7:00  8.12
 2015/7/11 8:00  8.95
 2015/7/11 9:00 10.18
2015/7/11 10:00 11.32
2015/7/11 11:00 11.75
2015/7/11 12:00 11.42
2015/7/11 13:00 10.29
2015/7/11 14:00  9.42
2015/7/11 15:00  9.24
2015/7/11 16:00  9.24
2015/7/11 17:00 10.38
2015/7/11 18:00 10.78
2015/7/11 19:00 11.03
2015/7/11 20:00 10.48
2015/7/11 21:00  9.60
2015/7/11 22:00  9.47
2015/7/11 23:00  8.69
 2015/7/12 0:00  8.21
 2015/7/12 1:00  7.50
 2015/7/12 2:00  6.64
 2015/7/12 3:00  6.18
 2015/7/12 4:00  5.71
 2015/7/12 5:00  5.71
 2015/7/12 6:00  6.15
 2015/7/12 7:00  7.03
 2015/7/12 8:00  8.08
 2015/7/12 9:00  8.84
2015/7/12 10:00  9.55
2015/7/12 11:00 10.19
2015/7/12 12:00  9.53
2015/7/12 13:00  9.11
2015/7/12 14:00  8.90
2015/7/12 15:00  8.83
2015/7/12 16:00  8.94
2015/7/12 17:00  9.41
2015/7/12 18:00  9.86
2015/7/12 19:00 10.16
2015/7/12 20:00  9.93
2015/7/12 21:00  9.77
2015/7/12 22:00  9.43
2015/7/12 23:00  8.67
 2015/7/13 0:00  8.41
 2015/7/13 1:00  7.82
 2015/7/13 2:00  7.40
 2015/7/13 3:00  7.11
 2015/7/13 4:00  7.02
 2015/7/13 5:00  8.25
 2015/7/13 6:00 10.87
 2015/7/13 7:00 12.40
 2015/7/13 8:00 13.89
 2015/7/13 9:00 15.08
2015/7/13 10:00 15.38
2015/7/13 11:00 15.31
