You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2016/3/1 0:00 19.24
 2016/3/1 1:00 19.04
 2016/3/1 2:00 18.93
 2016/3/1 3:00 19.02
 2016/3/1 4:00 19.29
 2016/3/1 5:00 19.99
 2016/3/1 6:00 20.56
 2016/3/1 7:00 25.97
 2016/3/1 8:00 29.22
 2016/3/1 9:00 23.68
2016/3/1 10:00 22.51
2016/3/1 11:00 20.97
2016/3/1 12:00 20.40
2016/3/1 13:00 20.15
2016/3/1 14:00 19.93
2016/3/1 15:00 19.84
2016/3/1 16:00 19.87
2016/3/1 17:00 20.41
2016/3/1 18:00 20.83
2016/3/1 19:00 19.92
2016/3/1 20:00 19.47
2016/3/1 21:00 19.08
2016/3/1 22:00 18.28
2016/3/1 23:00 17.14
 2016/3/2 0:00 16.94
 2016/3/2 1:00 16.95
 2016/3/2 2:00 16.99
 2016/3/2 3:00 17.03
 2016/3/2 4:00 17.36
 2016/3/2 5:00 18.46
 2016/3/2 6:00 19.54
 2016/3/2 7:00 22.98
 2016/3/2 8:00 28.77
 2016/3/2 9:00 27.32
2016/3/2 10:00 28.39
2016/3/2 11:00 25.08
2016/3/2 12:00 27.42
2016/3/2 13:00 25.91
2016/3/2 14:00 25.93
2016/3/2 15:00 25.03
2016/3/2 16:00 24.99
2016/3/2 17:00 37.87
2016/3/2 18:00 38.55
2016/3/2 19:00 29.60
2016/3/2 20:00 23.76
2016/3/2 21:00 20.61
2016/3/2 22:00 19.89
2016/3/2 23:00 19.33
 2016/3/3 0:00 19.54
 2016/3/3 1:00 19.14
 2016/3/3 2:00 18.59
 2016/3/3 3:00 18.12
 2016/3/3 4:00 18.80
 2016/3/3 5:00 20.39
 2016/3/3 6:00 23.00
 2016/3/3 7:00 35.02
 2016/3/3 8:00 40.33
 2016/3/3 9:00 35.94
2016/3/3 10:00 29.60
2016/3/3 11:00 26.21
2016/3/3 12:00 26.31
2016/3/3 13:00 25.46
2016/3/3 14:00 25.05
2016/3/3 15:00 24.94
2016/3/3 16:00 24.80
2016/3/3 17:00 32.49
2016/3/3 18:00 41.12
2016/3/3 19:00 25.06
2016/3/3 20:00 21.94
2016/3/3 21:00 21.17
2016/3/3 22:00 20.59
2016/3/3 23:00 19.87
 2016/3/4 0:00 19.94
 2016/3/4 1:00 19.60
 2016/3/4 2:00 19.32
 2016/3/4 3:00 19.14
 2016/3/4 4:00 19.10
 2016/3/4 5:00 20.55
 2016/3/4 6:00 23.32
 2016/3/4 7:00 32.50
 2016/3/4 8:00 35.52
 2016/3/4 9:00 35.88
2016/3/4 10:00 34.06
2016/3/4 11:00 25.27
2016/3/4 12:00 23.84
2016/3/4 13:00 23.63
2016/3/4 14:00 22.34
2016/3/4 15:00 22.13
2016/3/4 16:00 21.93
2016/3/4 17:00 23.85
2016/3/4 18:00 25.17
2016/3/4 19:00 21.92
2016/3/4 20:00 21.07
2016/3/4 21:00 20.76
2016/3/4 22:00 20.19
2016/3/4 23:00 19.76
 2016/3/5 0:00 19.56
 2016/3/5 1:00 19.17
 2016/3/5 2:00 19.04
 2016/3/5 3:00 18.96
 2016/3/5 4:00 18.88
 2016/3/5 5:00 19.01
 2016/3/5 6:00 19.12
 2016/3/5 7:00 19.83
 2016/3/5 8:00 20.32
 2016/3/5 9:00 20.88
2016/3/5 10:00 21.07
2016/3/5 11:00 20.99
2016/3/5 12:00 20.78
2016/3/5 13:00 20.23
2016/3/5 14:00 19.93
2016/3/5 15:00 19.91
2016/3/5 16:00 20.52
2016/3/5 17:00 21.11
2016/3/5 18:00 21.45
2016/3/5 19:00 21.15
2016/3/5 20:00 20.60
2016/3/5 21:00 20.46
2016/3/5 22:00 19.97
2016/3/5 23:00 19.52
 2016/3/6 0:00 20.03
 2016/3/6 1:00 19.46
 2016/3/6 2:00 19.13
 2016/3/6 3:00 18.69
 2016/3/6 4:00 18.58
 2016/3/6 5:00 18.83
 2016/3/6 6:00 18.65
 2016/3/6 7:00 18.78
 2016/3/6 8:00 19.28
 2016/3/6 9:00 19.99
2016/3/6 10:00 20.26
2016/3/6 11:00 20.51
2016/3/6 12:00 20.01
2016/3/6 13:00 19.15
2016/3/6 14:00 18.84
2016/3/6 15:00 18.83
