You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2016/5/3 0:00 21.75
 2016/5/3 1:00 21.11
 2016/5/3 2:00 21.04
 2016/5/3 3:00 20.85
 2016/5/3 4:00 21.16
 2016/5/3 5:00 22.51
 2016/5/3 6:00 23.63
 2016/5/3 7:00 25.69
 2016/5/3 8:00 28.39
 2016/5/3 9:00 27.88
2016/5/3 10:00 26.66
2016/5/3 11:00 26.67
2016/5/3 12:00 25.12
2016/5/3 13:00 24.72
2016/5/3 14:00 24.15
2016/5/3 15:00 24.01
2016/5/3 16:00 23.85
2016/5/3 17:00 24.23
2016/5/3 18:00 24.21
2016/5/3 19:00 24.30
2016/5/3 20:00 24.23
2016/5/3 21:00 24.53
2016/5/3 22:00 24.21
2016/5/3 23:00 23.61
 2016/5/4 0:00 22.14
 2016/5/4 1:00 21.46
 2016/5/4 2:00 21.25
 2016/5/4 3:00 21.17
 2016/5/4 4:00 21.54
 2016/5/4 5:00 23.20
 2016/5/4 6:00 24.69
 2016/5/4 7:00 31.80
 2016/5/4 8:00 33.05
 2016/5/4 9:00 30.81
2016/5/4 10:00 28.57
2016/5/4 11:00 27.67
2016/5/4 12:00 25.57
2016/5/4 13:00 24.39
2016/5/4 14:00 23.99
2016/5/4 15:00 23.36
2016/5/4 16:00 23.78
2016/5/4 17:00 24.55
2016/5/4 18:00 25.62
2016/5/4 19:00 25.45
2016/5/4 20:00 24.59
2016/5/4 21:00 24.67
2016/5/4 22:00 24.26
2016/5/4 23:00 23.69
 2016/5/5 0:00 23.12
 2016/5/5 1:00 21.86
 2016/5/5 2:00 21.26
 2016/5/5 3:00 20.26
 2016/5/5 4:00 19.79
 2016/5/5 5:00 20.27
 2016/5/5 6:00 20.44
 2016/5/5 7:00 20.73
 2016/5/5 8:00 21.34
 2016/5/5 9:00 21.54
2016/5/5 10:00 21.47
2016/5/5 11:00 21.29
2016/5/5 12:00 20.98
2016/5/5 13:00 20.62
2016/5/5 14:00 20.19
2016/5/5 15:00 19.67
2016/5/5 16:00 19.71
2016/5/5 17:00 20.48
2016/5/5 18:00 21.46
2016/5/5 19:00 23.42
2016/5/5 20:00 23.26
2016/5/5 21:00 23.52
2016/5/5 22:00 23.35
2016/5/5 23:00 21.62
 2016/5/6 0:00 20.73
 2016/5/6 1:00 19.08
 2016/5/6 2:00 18.46
 2016/5/6 3:00 18.24
 2016/5/6 4:00 19.11
 2016/5/6 5:00 21.15
 2016/5/6 6:00 23.05
 2016/5/6 7:00 24.00
 2016/5/6 8:00 25.27
 2016/5/6 9:00 25.63
2016/5/6 10:00 23.96
2016/5/6 11:00 23.08
2016/5/6 12:00 22.45
2016/5/6 13:00 22.12
2016/5/6 14:00 21.75
2016/5/6 15:00 20.87
2016/5/6 16:00 20.66
2016/5/6 17:00 21.85
2016/5/6 18:00 22.91
2016/5/6 19:00 22.76
2016/5/6 20:00 22.25
2016/5/6 21:00 22.09
2016/5/6 22:00 21.80
2016/5/6 23:00 20.91
 2016/5/7 0:00 19.81
 2016/5/7 1:00 16.90
 2016/5/7 2:00 14.95
 2016/5/7 3:00 14.64
 2016/5/7 4:00 14.96
 2016/5/7 5:00 15.20
 2016/5/7 6:00 16.27
 2016/5/7 7:00 19.32
 2016/5/7 8:00 19.94
 2016/5/7 9:00 20.10
2016/5/7 10:00 20.20
2016/5/7 11:00 19.93
2016/5/7 12:00 19.89
2016/5/7 13:00 19.33
2016/5/7 14:00 18.72
2016/5/7 15:00 18.55
2016/5/7 16:00 18.15
2016/5/7 17:00 19.26
2016/5/7 18:00 19.92
2016/5/7 19:00 21.42
2016/5/7 20:00 19.98
2016/5/7 21:00 19.86
2016/5/7 22:00 19.75
2016/5/7 23:00 18.25
 2016/5/8 0:00 15.17
 2016/5/8 1:00 13.99
 2016/5/8 2:00 11.89
 2016/5/8 3:00  9.93
 2016/5/8 4:00  9.08
 2016/5/8 5:00  7.45
 2016/5/8 6:00  9.57
 2016/5/8 7:00 13.94
 2016/5/8 8:00 16.94
 2016/5/8 9:00 18.59
2016/5/8 10:00 20.02
2016/5/8 11:00 19.73
2016/5/8 12:00 19.23
2016/5/8 13:00 18.48
2016/5/8 14:00 18.02
2016/5/8 15:00 17.63
2016/5/8 16:00 17.18
2016/5/8 17:00 17.72
2016/5/8 18:00 17.93
2016/5/8 19:00 19.35
2016/5/8 20:00 19.40
2016/5/8 21:00 20.02
2016/5/8 22:00 20.12
2016/5/8 23:00 18.66
 2016/5/9 0:00 15.75
 2016/5/9 1:00 13.10
 2016/5/9 2:00 12.49
 2016/5/9 3:00 12.35
 2016/5/9 4:00 14.71
 2016/5/9 5:00 20.12
 2016/5/9 6:00 22.47
 2016/5/9 7:00 26.59
 2016/5/9 8:00 28.92
 2016/5/9 9:00 28.00
2016/5/9 10:00 24.24
2016/5/9 11:00 22.82
2016/5/9 12:00 22.38
2016/5/9 13:00 22.19
2016/5/9 14:00 22.02
2016/5/9 15:00 22.01
2016/5/9 16:00 21.94
2016/5/9 17:00 22.76
2016/5/9 18:00 22.87
2016/5/9 19:00 22.81
2016/5/9 20:00 22.43
2016/5/9 21:00 22.70
2016/5/9 22:00 22.13
2016/5/9 23:00 21.31And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
