You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
  2015/8/4 0:00  4.42
  2015/8/4 1:00  3.82
  2015/8/4 2:00  3.59
  2015/8/4 3:00  3.63
  2015/8/4 4:00  3.89
  2015/8/4 5:00  4.83
  2015/8/4 6:00  7.79
  2015/8/4 7:00 10.15
  2015/8/4 8:00 11.04
  2015/8/4 9:00 11.87
 2015/8/4 10:00 11.98
 2015/8/4 11:00 11.91
 2015/8/4 12:00 11.22
 2015/8/4 13:00 10.69
 2015/8/4 14:00 10.38
 2015/8/4 15:00 10.16
 2015/8/4 16:00  9.95
 2015/8/4 17:00  9.98
 2015/8/4 18:00  9.92
 2015/8/4 19:00  9.83
 2015/8/4 20:00  9.01
 2015/8/4 21:00  9.23
 2015/8/4 22:00  8.69
 2015/8/4 23:00  7.61
  2015/8/5 0:00  4.41
  2015/8/5 1:00  3.55
  2015/8/5 2:00  3.38
  2015/8/5 3:00  3.57
  2015/8/5 4:00  3.69
  2015/8/5 5:00  4.91
  2015/8/5 6:00  8.02
  2015/8/5 7:00 10.14
  2015/8/5 8:00 11.17
  2015/8/5 9:00 12.85
 2015/8/5 10:00 12.86
 2015/8/5 11:00 12.56
 2015/8/5 12:00 12.11
 2015/8/5 13:00 11.27
 2015/8/5 14:00 10.94
 2015/8/5 15:00 10.69
 2015/8/5 16:00 10.39
 2015/8/5 17:00 10.41
 2015/8/5 18:00 10.72
 2015/8/5 19:00 10.62
 2015/8/5 20:00 10.22
 2015/8/5 21:00 10.05
 2015/8/5 22:00  9.53
 2015/8/5 23:00  8.02
  2015/8/6 0:00  6.18
  2015/8/6 1:00  5.23
  2015/8/6 2:00  4.85
  2015/8/6 3:00  4.64
  2015/8/6 4:00  4.63
  2015/8/6 5:00  5.25
  2015/8/6 6:00  7.79
  2015/8/6 7:00  9.76
  2015/8/6 8:00 10.67
  2015/8/6 9:00 11.45
 2015/8/6 10:00 11.48
 2015/8/6 11:00 11.19
 2015/8/6 12:00 10.88
 2015/8/6 13:00 10.52
 2015/8/6 14:00 10.34
 2015/8/6 15:00  9.96
 2015/8/6 16:00  9.82
 2015/8/6 17:00  9.83
 2015/8/6 18:00  9.82
 2015/8/6 19:00  9.64
 2015/8/6 20:00  9.13
 2015/8/6 21:00  9.04
 2015/8/6 22:00  8.53
 2015/8/6 23:00  6.91
  2015/8/7 0:00  5.38
  2015/8/7 1:00  5.44
  2015/8/7 2:00  4.97
  2015/8/7 3:00  4.89
  2015/8/7 4:00  4.92
  2015/8/7 5:00  5.79
  2015/8/7 6:00  7.93
  2015/8/7 7:00  9.30
  2015/8/7 8:00 10.11
  2015/8/7 9:00 10.39
 2015/8/7 10:00 10.46
 2015/8/7 11:00 10.39
 2015/8/7 12:00 10.15
 2015/8/7 13:00  9.83
 2015/8/7 14:00  9.44
 2015/8/7 15:00  9.16
 2015/8/7 16:00  8.83
 2015/8/7 17:00  8.88
 2015/8/7 18:00  9.43
 2015/8/7 19:00  9.37
 2015/8/7 20:00  8.88
 2015/8/7 21:00  8.91
 2015/8/7 22:00  8.72
 2015/8/7 23:00  7.53
  2015/8/8 0:00  6.00
  2015/8/8 1:00  5.64
  2015/8/8 2:00  5.37
  2015/8/8 3:00  5.06
  2015/8/8 4:00  4.53
  2015/8/8 5:00  4.49
  2015/8/8 6:00  5.36
  2015/8/8 7:00  5.77
  2015/8/8 8:00  6.31
  2015/8/8 9:00  7.23
 2015/8/8 10:00  7.90
 2015/8/8 11:00  7.80
 2015/8/8 12:00  7.29
 2015/8/8 13:00  6.82
 2015/8/8 14:00  6.45
 2015/8/8 15:00  6.35
 2015/8/8 16:00  6.34
 2015/8/8 17:00  6.79
 2015/8/8 18:00  6.99
 2015/8/8 19:00  6.88
 2015/8/8 20:00  6.94
 2015/8/8 21:00  7.07
 2015/8/8 22:00  6.60
 2015/8/8 23:00  6.08
  2015/8/9 0:00  6.14
  2015/8/9 1:00  5.70
  2015/8/9 2:00  5.51
  2015/8/9 3:00  5.51
  2015/8/9 4:00  5.20
  2015/8/9 5:00  5.45
  2015/8/9 6:00  5.58
  2015/8/9 7:00  6.02
  2015/8/9 8:00  6.78
  2015/8/9 9:00  8.05
 2015/8/9 10:00  8.60
 2015/8/9 11:00  8.87
 2015/8/9 12:00  8.60
 2015/8/9 13:00  8.41
 2015/8/9 14:00  8.26
 2015/8/9 15:00  8.18
 2015/8/9 16:00  8.36
 2015/8/9 17:00  9.34
 2015/8/9 18:00  9.98
 2015/8/9 19:00 10.12
 2015/8/9 20:00 10.27
 2015/8/9 21:00 10.39
 2015/8/9 22:00 10.05
 2015/8/9 23:00  8.80
 2015/8/10 0:00  8.13
 2015/8/10 1:00  7.90
 2015/8/10 2:00  7.79
 2015/8/10 3:00  7.65
 2015/8/10 4:00  7.81
 2015/8/10 5:00  7.94
 2015/8/10 6:00  9.98
 2015/8/10 7:00 11.45
 2015/8/10 8:00 14.19
 2015/8/10 9:00 15.09
2015/8/10 10:00 15.25
2015/8/10 11:00 15.00
2015/8/10 12:00 14.77
2015/8/10 13:00 14.08
2015/8/10 14:00 13.84
2015/8/10 15:00 12.96
2015/8/10 16:00 11.45
2015/8/10 17:00 14.00
2015/8/10 18:00 13.92
2015/8/10 19:00 13.96
2015/8/10 20:00 12.30
2015/8/10 21:00 11.44
2015/8/10 22:00 10.29
2015/8/10 23:00  8.64And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
