You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2015/6/23 0:00 12.76
 2015/6/23 1:00 12.32
 2015/6/23 2:00 12.08
 2015/6/23 3:00 11.93
 2015/6/23 4:00 11.89
 2015/6/23 5:00 12.17
 2015/6/23 6:00 14.89
 2015/6/23 7:00 20.78
 2015/6/23 8:00 22.36
 2015/6/23 9:00 21.15
2015/6/23 10:00 21.00
2015/6/23 11:00 21.11
2015/6/23 12:00 19.94
2015/6/23 13:00 19.97
2015/6/23 14:00 19.41
2015/6/23 15:00 18.28
2015/6/23 16:00 17.63
2015/6/23 17:00 16.96
2015/6/23 18:00 16.69
2015/6/23 19:00 16.23
2015/6/23 20:00 13.89
2015/6/23 21:00 12.97
2015/6/23 22:00 12.80
2015/6/23 23:00 12.13
 2015/6/24 0:00  9.91
 2015/6/24 1:00  6.50
 2015/6/24 2:00  5.63
 2015/6/24 3:00  4.96
 2015/6/24 4:00  4.61
 2015/6/24 5:00  5.70
 2015/6/24 6:00 11.27
 2015/6/24 7:00 13.56
 2015/6/24 8:00 15.46
 2015/6/24 9:00 15.97
2015/6/24 10:00 15.69
2015/6/24 11:00 15.39
2015/6/24 12:00 16.06
2015/6/24 13:00 15.10
2015/6/24 14:00 13.84
2015/6/24 15:00 13.54
2015/6/24 16:00 13.14
2015/6/24 17:00 12.93
2015/6/24 18:00 13.17
2015/6/24 19:00 13.23
2015/6/24 20:00 12.83
2015/6/24 21:00 12.67
2015/6/24 22:00 11.78
2015/6/24 23:00 11.04
 2015/6/25 0:00  8.25
 2015/6/25 1:00  6.61
 2015/6/25 2:00  5.32
 2015/6/25 3:00  4.99
 2015/6/25 4:00  5.32
 2015/6/25 5:00  6.88
 2015/6/25 6:00 11.77
 2015/6/25 7:00 14.10
 2015/6/25 8:00 15.95
 2015/6/25 9:00 17.18
2015/6/25 10:00 19.82
2015/6/25 11:00 18.79
2015/6/25 12:00 17.95
2015/6/25 13:00 18.05
2015/6/25 14:00 16.66
2015/6/25 15:00 15.92
2015/6/25 16:00 15.06
2015/6/25 17:00 14.84
2015/6/25 18:00 15.74
2015/6/25 19:00 15.05
2015/6/25 20:00 14.09
2015/6/25 21:00 13.81
2015/6/25 22:00 12.68
2015/6/25 23:00 11.28
 2015/6/26 0:00 12.61
 2015/6/26 1:00 12.36
 2015/6/26 2:00 12.08
 2015/6/26 3:00 11.93
 2015/6/26 4:00 11.92
 2015/6/26 5:00 12.41
 2015/6/26 6:00 17.30
 2015/6/26 7:00 20.88
 2015/6/26 8:00 23.16
 2015/6/26 9:00 23.51
2015/6/26 10:00 24.44
2015/6/26 11:00 24.30
2015/6/26 12:00 23.34
2015/6/26 13:00 21.16
2015/6/26 14:00 19.11
2015/6/26 15:00 17.47
2015/6/26 16:00 17.18
2015/6/26 17:00 16.62
2015/6/26 18:00 17.29
2015/6/26 19:00 16.65
2015/6/26 20:00 16.70
2015/6/26 21:00 14.89
2015/6/26 22:00 14.00
2015/6/26 23:00 12.87
 2015/6/27 0:00 16.09
