You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2013/10/15 0:00 37.91
 2013/10/15 1:00 37.60
 2013/10/15 2:00 37.44
 2013/10/15 3:00 37.24
 2013/10/15 4:00 37.43
 2013/10/15 5:00 38.42
 2013/10/15 6:00 41.17
 2013/10/15 7:00 44.31
 2013/10/15 8:00 46.24
 2013/10/15 9:00 45.70
2013/10/15 10:00 45.73
2013/10/15 11:00 44.92
2013/10/15 12:00 43.21
2013/10/15 13:00 43.26
2013/10/15 14:00 42.57
2013/10/15 15:00 42.67
2013/10/15 16:00 42.75
2013/10/15 17:00 43.75
2013/10/15 18:00 45.13
2013/10/15 19:00 47.20
2013/10/15 20:00 44.50
2013/10/15 21:00 42.09
2013/10/15 22:00 40.14
2013/10/15 23:00 38.48
 2013/10/16 0:00 38.14
 2013/10/16 1:00 37.93
 2013/10/16 2:00 37.68
 2013/10/16 3:00 37.70
 2013/10/16 4:00 37.98
 2013/10/16 5:00 39.45
 2013/10/16 6:00 44.43
 2013/10/16 7:00 48.55
 2013/10/16 8:00 46.45
 2013/10/16 9:00 47.36
2013/10/16 10:00 45.66
2013/10/16 11:00 44.70
2013/10/16 12:00 44.73
2013/10/16 13:00 44.61
2013/10/16 14:00 44.78
2013/10/16 15:00 44.22
2013/10/16 16:00 44.08
2013/10/16 17:00 45.79
2013/10/16 18:00 48.21
2013/10/16 19:00 47.71
2013/10/16 20:00 44.91
2013/10/16 21:00 42.31
2013/10/16 22:00 39.56
2013/10/16 23:00 38.50
 2013/10/17 0:00 37.99
 2013/10/17 1:00 37.45
 2013/10/17 2:00 37.08
 2013/10/17 3:00 36.94
 2013/10/17 4:00 37.16
 2013/10/17 5:00 37.98
 2013/10/17 6:00 40.57
 2013/10/17 7:00 45.91
 2013/10/17 8:00 47.00
 2013/10/17 9:00 45.21
2013/10/17 10:00 44.38
2013/10/17 11:00 43.60
2013/10/17 12:00 42.94
2013/10/17 13:00 41.97
2013/10/17 14:00 42.03
2013/10/17 15:00 41.79
2013/10/17 16:00 41.25
2013/10/17 17:00 42.08
2013/10/17 18:00 43.47
2013/10/17 19:00 42.30
2013/10/17 20:00 40.33
2013/10/17 21:00 38.41
2013/10/17 22:00 37.93
2013/10/17 23:00 37.47
 2013/10/18 0:00 37.64
 2013/10/18 1:00 37.23
 2013/10/18 2:00 36.87
 2013/10/18 3:00 36.85
 2013/10/18 4:00 37.19
 2013/10/18 5:00 38.28
 2013/10/18 6:00 39.59
 2013/10/18 7:00 42.79
 2013/10/18 8:00 43.84
 2013/10/18 9:00 43.53
2013/10/18 10:00 44.79
2013/10/18 11:00 43.61
2013/10/18 12:00 41.75
2013/10/18 13:00 40.63
2013/10/18 14:00 40.11
2013/10/18 15:00 39.90
2013/10/18 16:00 40.75
2013/10/18 17:00 42.55
2013/10/18 18:00 45.50
2013/10/18 19:00 46.18
2013/10/18 20:00 43.90
2013/10/18 21:00 40.85
2013/10/18 22:00 39.47
2013/10/18 23:00 38.30
 2013/10/19 0:00 38.87
 2013/10/19 1:00 38.30
 2013/10/19 2:00 38.03
 2013/10/19 3:00 37.97
 2013/10/19 4:00 38.01
 2013/10/19 5:00 38.27
 2013/10/19 6:00 38.85
 2013/10/19 7:00 40.21
 2013/10/19 8:00 40.20
 2013/10/19 9:00 40.84
2013/10/19 10:00 41.21
2013/10/19 11:00 40.66
2013/10/19 12:00 39.91
2013/10/19 13:00 39.43
2013/10/19 14:00 39.13
2013/10/19 15:00 38.99
2013/10/19 16:00 39.38
2013/10/19 17:00 40.49
2013/10/19 18:00 42.97
2013/10/19 19:00 42.90
2013/10/19 20:00 40.08
2013/10/19 21:00 39.50
2013/10/19 22:00 38.98
2013/10/19 23:00 38.53
 2013/10/20 0:00 38.56
 2013/10/20 1:00 38.09
 2013/10/20 2:00 37.90
 2013/10/20 3:00 37.66
 2013/10/20 4:00 37.93
 2013/10/20 5:00 38.11
 2013/10/20 6:00 38.36
 2013/10/20 7:00 38.70
 2013/10/20 8:00 38.75
 2013/10/20 9:00 39.01
2013/10/20 10:00 39.79
2013/10/20 11:00 39.96
2013/10/20 12:00 39.68
