You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
  2015/6/9 0:00 13.74
  2015/6/9 1:00 12.62
  2015/6/9 2:00 12.54
  2015/6/9 3:00 12.46
  2015/6/9 4:00 12.57
  2015/6/9 5:00 14.46
  2015/6/9 6:00 19.98
  2015/6/9 7:00 25.95
  2015/6/9 8:00 26.28
  2015/6/9 9:00 25.98
 2015/6/9 10:00 25.50
 2015/6/9 11:00 25.22
 2015/6/9 12:00 23.86
 2015/6/9 13:00 22.21
 2015/6/9 14:00 21.57
 2015/6/9 15:00 20.04
 2015/6/9 16:00 19.29
 2015/6/9 17:00 18.69
 2015/6/9 18:00 18.48
 2015/6/9 19:00 16.40
 2015/6/9 20:00 15.57
 2015/6/9 21:00 15.09
 2015/6/9 22:00 13.97
 2015/6/9 23:00 12.67
 2015/6/10 0:00 14.97
 2015/6/10 1:00 14.16
 2015/6/10 2:00 13.23
 2015/6/10 3:00 12.73
 2015/6/10 4:00 12.85
 2015/6/10 5:00 14.29
 2015/6/10 6:00 16.80
 2015/6/10 7:00 23.07
 2015/6/10 8:00 24.77
 2015/6/10 9:00 24.17
2015/6/10 10:00 23.87
2015/6/10 11:00 23.34
2015/6/10 12:00 21.63
2015/6/10 13:00 20.10
2015/6/10 14:00 19.07
2015/6/10 15:00 17.46
2015/6/10 16:00 15.36
2015/6/10 17:00 15.05
2015/6/10 18:00 15.09
2015/6/10 19:00 14.89
2015/6/10 20:00 14.64
2015/6/10 21:00 14.55
2015/6/10 22:00 14.29
2015/6/10 23:00 12.95
 2015/6/11 0:00  9.07
 2015/6/11 1:00  8.13
 2015/6/11 2:00  7.40
 2015/6/11 3:00  8.38
 2015/6/11 4:00  9.10
 2015/6/11 5:00 11.58
 2015/6/11 6:00 15.85
 2015/6/11 7:00 21.63
 2015/6/11 8:00 23.24
 2015/6/11 9:00 22.63
2015/6/11 10:00 20.59
2015/6/11 11:00 20.43
2015/6/11 12:00 19.80
2015/6/11 13:00 18.75
2015/6/11 14:00 19.87
2015/6/11 15:00 19.81
2015/6/11 16:00 18.96
2015/6/11 17:00 18.76
2015/6/11 18:00 18.75
