You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2013/10/22 0:00 37.48
 2013/10/22 1:00 36.43
 2013/10/22 2:00 35.67
 2013/10/22 3:00 35.65
 2013/10/22 4:00 35.94
 2013/10/22 5:00 37.71
 2013/10/22 6:00 39.65
 2013/10/22 7:00 45.18
 2013/10/22 8:00 47.35
 2013/10/22 9:00 45.28
2013/10/22 10:00 42.90
2013/10/22 11:00 42.01
2013/10/22 12:00 40.69
2013/10/22 13:00 39.85
2013/10/22 14:00 39.74
2013/10/22 15:00 39.73
2013/10/22 16:00 39.76
2013/10/22 17:00 41.42
2013/10/22 18:00 42.92
2013/10/22 19:00 42.84
2013/10/22 20:00 39.10
2013/10/22 21:00 37.92
2013/10/22 22:00 37.00
2013/10/22 23:00 36.02
 2013/10/23 0:00 34.31
 2013/10/23 1:00 33.03
 2013/10/23 2:00 32.10
 2013/10/23 3:00 32.09
 2013/10/23 4:00 32.81
 2013/10/23 5:00 35.40
 2013/10/23 6:00 38.28
 2013/10/23 7:00 40.67
 2013/10/23 8:00 41.66
 2013/10/23 9:00 41.10
2013/10/23 10:00 40.98
2013/10/23 11:00 40.47
2013/10/23 12:00 39.81
2013/10/23 13:00 38.90
2013/10/23 14:00 38.65
2013/10/23 15:00 38.58
2013/10/23 16:00 38.63
2013/10/23 17:00 40.03
2013/10/23 18:00 40.98
2013/10/23 19:00 40.56
2013/10/23 20:00 38.55
2013/10/23 21:00 37.49
2013/10/23 22:00 36.25
2013/10/23 23:00 34.63
 2013/10/24 0:00 33.07
 2013/10/24 1:00 32.06
 2013/10/24 2:00 31.52
 2013/10/24 3:00 31.56
 2013/10/24 4:00 32.48
 2013/10/24 5:00 35.13
 2013/10/24 6:00 37.61
 2013/10/24 7:00 40.83
 2013/10/24 8:00 41.17
 2013/10/24 9:00 40.95
2013/10/24 10:00 39.99
2013/10/24 11:00 38.84
2013/10/24 12:00 37.60
2013/10/24 13:00 36.99
2013/10/24 14:00 37.42
2013/10/24 15:00 37.89
2013/10/24 16:00 38.29
2013/10/24 17:00 40.82
2013/10/24 18:00 41.20
2013/10/24 19:00 40.69
2013/10/24 20:00 39.88
2013/10/24 21:00 38.18
2013/10/24 22:00 37.24
2013/10/24 23:00 35.09
 2013/10/25 0:00 33.67
 2013/10/25 1:00 31.81
 2013/10/25 2:00 31.57
 2013/10/25 3:00 32.27
 2013/10/25 4:00 33.23
 2013/10/25 5:00 35.43
 2013/10/25 6:00 37.96
 2013/10/25 7:00 42.96
 2013/10/25 8:00 45.05
 2013/10/25 9:00 42.91
2013/10/25 10:00 42.08
2013/10/25 11:00 40.56
2013/10/25 12:00 39.48
2013/10/25 13:00 38.16
2013/10/25 14:00 37.16
2013/10/25 15:00 37.03
2013/10/25 16:00 37.40
2013/10/25 17:00 39.80
2013/10/25 18:00 42.60
2013/10/25 19:00 41.54
2013/10/25 20:00 37.91
2013/10/25 21:00 35.95
2013/10/25 22:00 35.25
2013/10/25 23:00 33.56
 2013/10/26 0:00 34.05
 2013/10/26 1:00 32.06
 2013/10/26 2:00 31.91
 2013/10/26 3:00 31.92
 2013/10/26 4:00 31.98
 2013/10/26 5:00 32.27
 2013/10/26 6:00 32.89
 2013/10/26 7:00 33.60
 2013/10/26 8:00 35.64
 2013/10/26 9:00 36.42
2013/10/26 10:00 36.08
2013/10/26 11:00 35.17
2013/10/26 12:00 34.07
2013/10/26 13:00 33.66
2013/10/26 14:00 33.44
2013/10/26 15:00 33.30
2013/10/26 16:00 33.40
2013/10/26 17:00 35.10
2013/10/26 18:00 36.93
2013/10/26 19:00 37.18
2013/10/26 20:00 34.18
2013/10/26 21:00 33.34
2013/10/26 22:00 33.09
2013/10/26 23:00 32.70
 2013/10/27 0:00 33.64
 2013/10/27 1:00 33.07
 2013/10/27 2:00 32.93
 2013/10/27 3:00 32.71
 2013/10/27 4:00 32.81
 2013/10/27 5:00 33.04
 2013/10/27 6:00 33.91
 2013/10/27 7:00 34.13
 2013/10/27 8:00 34.46
 2013/10/27 9:00 35.03
2013/10/27 10:00 35.26
2013/10/27 11:00 35.14
2013/10/27 12:00 35.26
2013/10/27 13:00 34.99
2013/10/27 14:00 34.95
2013/10/27 15:00 35.03
2013/10/27 16:00 35.19
2013/10/27 17:00 35.49
2013/10/27 18:00 35.61
2013/10/27 19:00 35.34
2013/10/27 20:00 34.44
2013/10/27 21:00 34.99
2013/10/27 22:00 34.21
2013/10/27 23:00 32.48
 2013/10/28 0:00 30.08
 2013/10/28 1:00 27.61
 2013/10/28 2:00 27.48
 2013/10/28 3:00 27.78
 2013/10/28 4:00 30.44
 2013/10/28 5:00 33.08
 2013/10/28 6:00 35.66
 2013/10/28 7:00 38.30
 2013/10/28 8:00 38.08
 2013/10/28 9:00 37.09
2013/10/28 10:00 37.04
2013/10/28 11:00 36.38
2013/10/28 12:00 35.80
2013/10/28 13:00 35.81
2013/10/28 14:00 35.84
2013/10/28 15:00 35.72
2013/10/28 16:00 36.40
2013/10/28 17:00 37.24
2013/10/28 18:00 37.39
2013/10/28 19:00 36.01
2013/10/28 20:00 35.15
2013/10/28 21:00 34.73
2013/10/28 22:00 33.50
2013/10/28 23:00 32.25And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
