You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2014/1/14 0:00 30.34
 2014/1/14 1:00 29.63
 2014/1/14 2:00 29.55
 2014/1/14 3:00 29.14
 2014/1/14 4:00 29.45
 2014/1/14 5:00 31.37
 2014/1/14 6:00 37.77
 2014/1/14 7:00 48.24
 2014/1/14 8:00 51.87
 2014/1/14 9:00 53.02
2014/1/14 10:00 52.24
2014/1/14 11:00 52.25
2014/1/14 12:00 52.05
2014/1/14 13:00 45.96
2014/1/14 14:00 47.16
2014/1/14 15:00 48.10
2014/1/14 16:00 50.02
2014/1/14 17:00 54.99
2014/1/14 18:00 48.01
2014/1/14 19:00 42.42
2014/1/14 20:00 36.83
2014/1/14 21:00 35.15
2014/1/14 22:00 33.05
2014/1/14 23:00 31.10
 2014/1/15 0:00 31.51
 2014/1/15 1:00 30.62
 2014/1/15 2:00 29.91
 2014/1/15 3:00 29.62
 2014/1/15 4:00 29.71
 2014/1/15 5:00 31.72
 2014/1/15 6:00 40.06
 2014/1/15 7:00 57.00
 2014/1/15 8:00 62.10
 2014/1/15 9:00 57.76
2014/1/15 10:00 50.23
2014/1/15 11:00 44.11
2014/1/15 12:00 41.80
2014/1/15 13:00 43.27
2014/1/15 14:00 45.55
2014/1/15 15:00 48.54
2014/1/15 16:00 55.25
2014/1/15 17:00 56.55
2014/1/15 18:00 44.48
2014/1/15 19:00 37.76
2014/1/15 20:00 34.66
2014/1/15 21:00 33.95
2014/1/15 22:00 31.95
2014/1/15 23:00 30.21
 2014/1/16 0:00 30.05
 2014/1/16 1:00 28.93
 2014/1/16 2:00 27.77
 2014/1/16 3:00 27.49
 2014/1/16 4:00 28.72
 2014/1/16 5:00 30.43
 2014/1/16 6:00 32.78
