You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2013/4/16 0:00 45.99
 2013/4/16 1:00 45.65
 2013/4/16 2:00 45.45
 2013/4/16 3:00 45.75
 2013/4/16 4:00 46.80
 2013/4/16 5:00 48.81
 2013/4/16 6:00 51.46
 2013/4/16 7:00 57.58
 2013/4/16 8:00 58.31
 2013/4/16 9:00 55.66
2013/4/16 10:00 52.95
2013/4/16 11:00 52.00
2013/4/16 12:00 51.53
2013/4/16 13:00 51.33
2013/4/16 14:00 50.95
2013/4/16 15:00 50.02
2013/4/16 16:00 49.68
2013/4/16 17:00 50.02
2013/4/16 18:00 51.10
2013/4/16 19:00 51.17
2013/4/16 20:00 51.31
2013/4/16 21:00 51.29
2013/4/16 22:00 48.54
2013/4/16 23:00 45.89
 2013/4/17 0:00 41.38
 2013/4/17 1:00 37.65
 2013/4/17 2:00 37.01
 2013/4/17 3:00 37.80
 2013/4/17 4:00 40.96
 2013/4/17 5:00 43.50
 2013/4/17 6:00 45.62
 2013/4/17 7:00 49.65
 2013/4/17 8:00 50.70
 2013/4/17 9:00 50.21
2013/4/17 10:00 48.74
2013/4/17 11:00 47.34
2013/4/17 12:00 47.00
2013/4/17 13:00 46.33
2013/4/17 14:00 45.94
2013/4/17 15:00 45.78
2013/4/17 16:00 45.78
2013/4/17 17:00 46.32
2013/4/17 18:00 46.19
2013/4/17 19:00 47.85
2013/4/17 20:00 48.02
2013/4/17 21:00 47.39
2013/4/17 22:00 45.79
2013/4/17 23:00 42.63
 2013/4/18 0:00 35.99
 2013/4/18 1:00 34.37
 2013/4/18 2:00 32.91
 2013/4/18 3:00 32.92
 2013/4/18 4:00 34.32
 2013/4/18 5:00 35.63
 2013/4/18 6:00 39.85
 2013/4/18 7:00 42.56
 2013/4/18 8:00 43.29
 2013/4/18 9:00 42.80
2013/4/18 10:00 42.17
2013/4/18 11:00 41.64
2013/4/18 12:00 40.38
2013/4/18 13:00 39.40
2013/4/18 14:00 39.01
2013/4/18 15:00 38.73
2013/4/18 16:00 38.69
2013/4/18 17:00 39.64
2013/4/18 18:00 40.20
2013/4/18 19:00 40.60
2013/4/18 20:00 41.45
2013/4/18 21:00 41.57
2013/4/18 22:00 40.41
2013/4/18 23:00 39.20
 2013/4/19 0:00 33.89
 2013/4/19 1:00 32.20
 2013/4/19 2:00 30.16
 2013/4/19 3:00 29.91
 2013/4/19 4:00 31.47
 2013/4/19 5:00 33.90
 2013/4/19 6:00 37.08
 2013/4/19 7:00 40.39
 2013/4/19 8:00 41.72
 2013/4/19 9:00 40.67
2013/4/19 10:00 40.23
2013/4/19 11:00 39.89
2013/4/19 12:00 39.02
2013/4/19 13:00 38.87
2013/4/19 14:00 38.40
2013/4/19 15:00 37.87
2013/4/19 16:00 36.22
2013/4/19 17:00 36.96
2013/4/19 18:00 37.79
2013/4/19 19:00 37.34
2013/4/19 20:00 38.92
2013/4/19 21:00 39.37
2013/4/19 22:00 38.55
2013/4/19 23:00 36.79
 2013/4/20 0:00 36.75
 2013/4/20 1:00 36.39
 2013/4/20 2:00 36.49
 2013/4/20 3:00 37.02
 2013/4/20 4:00 36.93
 2013/4/20 5:00 34.78
 2013/4/20 6:00 37.04
 2013/4/20 7:00 38.83
 2013/4/20 8:00 40.06
 2013/4/20 9:00 40.27
2013/4/20 10:00 40.42
2013/4/20 11:00 40.17
2013/4/20 12:00 40.02
2013/4/20 13:00 39.41
2013/4/20 14:00 39.09
2013/4/20 15:00 38.51
2013/4/20 16:00 38.54
2013/4/20 17:00 38.81
2013/4/20 18:00 38.74
2013/4/20 19:00 38.96
2013/4/20 20:00 40.01
2013/4/20 21:00 40.80
2013/4/20 22:00 40.54
2013/4/20 23:00 40.52
 2013/4/21 0:00 40.62
 2013/4/21 1:00 38.86
 2013/4/21 2:00 38.09
 2013/4/21 3:00 37.60
 2013/4/21 4:00 37.12
 2013/4/21 5:00 37.04
 2013/4/21 6:00 36.12
 2013/4/21 7:00 36.85
 2013/4/21 8:00 38.48
 2013/4/21 9:00 39.66
2013/4/21 10:00 40.07
2013/4/21 11:00 39.78
2013/4/21 12:00 38.97
2013/4/21 13:00 38.16
2013/4/21 14:00 37.08
2013/4/21 15:00 36.07
2013/4/21 16:00 37.05
2013/4/21 17:00 37.69
2013/4/21 18:00 38.08
2013/4/21 19:00 39.08
2013/4/21 20:00 40.34
2013/4/21 21:00 40.48
2013/4/21 22:00 40.81
2013/4/21 23:00 38.75
 2013/4/22 0:00 38.04
 2013/4/22 1:00 38.01
 2013/4/22 2:00 37.08
 2013/4/22 3:00 37.46
 2013/4/22 4:00 38.58
 2013/4/22 5:00 40.88
 2013/4/22 6:00 43.38
 2013/4/22 7:00 45.58
 2013/4/22 8:00 46.75
 2013/4/22 9:00 46.26
2013/4/22 10:00 45.66
2013/4/22 11:00 45.09
2013/4/22 12:00 44.60
2013/4/22 13:00 43.64
2013/4/22 14:00 42.88
2013/4/22 15:00 41.65
2013/4/22 16:00 40.97
2013/4/22 17:00 42.15
2013/4/22 18:00 42.66
2013/4/22 19:00 42.60
2013/4/22 20:00 42.72
2013/4/22 21:00 42.84
2013/4/22 22:00 41.19
2013/4/22 23:00 37.32And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
