You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2015/9/1 0:00 13.05
 2015/9/1 1:00 11.29
 2015/9/1 2:00 10.64
 2015/9/1 3:00 10.63
 2015/9/1 4:00 10.86
 2015/9/1 5:00 12.07
 2015/9/1 6:00 15.31
 2015/9/1 7:00 19.23
 2015/9/1 8:00 19.92
 2015/9/1 9:00 19.76
2015/9/1 10:00 19.67
2015/9/1 11:00 19.59
2015/9/1 12:00 19.57
2015/9/1 13:00 19.26
2015/9/1 14:00 18.93
2015/9/1 15:00 18.85
2015/9/1 16:00 18.78
2015/9/1 17:00 18.61
2015/9/1 18:00 18.23
2015/9/1 19:00 18.25
2015/9/1 20:00 17.74
2015/9/1 21:00 17.32
2015/9/1 22:00 14.81
2015/9/1 23:00 12.60
 2015/9/2 0:00 11.33
 2015/9/2 1:00  9.81
 2015/9/2 2:00  9.32
 2015/9/2 3:00  9.26
 2015/9/2 4:00  9.53
 2015/9/2 5:00 11.55
 2015/9/2 6:00 15.33
 2015/9/2 7:00 19.10
 2015/9/2 8:00 19.56
 2015/9/2 9:00 19.50
2015/9/2 10:00 19.37
2015/9/2 11:00 19.23
2015/9/2 12:00 18.89
2015/9/2 13:00 18.94
2015/9/2 14:00 18.52
2015/9/2 15:00 18.42
2015/9/2 16:00 18.14
2015/9/2 17:00 18.59
2015/9/2 18:00 18.48
2015/9/2 19:00 18.72
2015/9/2 20:00 18.50
2015/9/2 21:00 18.21
2015/9/2 22:00 15.26
2015/9/2 23:00 12.80
 2015/9/3 0:00 12.70
 2015/9/3 1:00 11.82
 2015/9/3 2:00 11.51
 2015/9/3 3:00 11.69
 2015/9/3 4:00 12.12
 2015/9/3 5:00 15.15
 2015/9/3 6:00 18.31
 2015/9/3 7:00 20.87
 2015/9/3 8:00 20.71
 2015/9/3 9:00 20.51
2015/9/3 10:00 20.78
2015/9/3 11:00 20.24
2015/9/3 12:00 20.16
2015/9/3 13:00 20.08
2015/9/3 14:00 19.62
2015/9/3 15:00 19.78
2015/9/3 16:00 19.49
2015/9/3 17:00 19.37
2015/9/3 18:00 19.16
2015/9/3 19:00 19.50
2015/9/3 20:00 19.13
2015/9/3 21:00 19.28
2015/9/3 22:00 17.99
2015/9/3 23:00 15.93
 2015/9/4 0:00 16.35
 2015/9/4 1:00 16.13
 2015/9/4 2:00 16.08
 2015/9/4 3:00 16.16
 2015/9/4 4:00 16.36
 2015/9/4 5:00 16.99
 2015/9/4 6:00 18.77
 2015/9/4 7:00 22.65
 2015/9/4 8:00 22.85
 2015/9/4 9:00 22.63
2015/9/4 10:00 22.68
2015/9/4 11:00 21.57
2015/9/4 12:00 21.14
2015/9/4 13:00 20.19
2015/9/4 14:00 19.38
2015/9/4 15:00 19.11
2015/9/4 16:00 19.04
2015/9/4 17:00 19.06
2015/9/4 18:00 20.18
2015/9/4 19:00 20.77
2015/9/4 20:00 20.26
2015/9/4 21:00 20.08
2015/9/4 22:00 18.82
2015/9/4 23:00 16.85
 2015/9/5 0:00 16.51
 2015/9/5 1:00 16.25
 2015/9/5 2:00 14.59
 2015/9/5 3:00 13.98
 2015/9/5 4:00 13.59
 2015/9/5 5:00 13.94
 2015/9/5 6:00 13.79
 2015/9/5 7:00 15.04
 2015/9/5 8:00 16.48
 2015/9/5 9:00 17.04
2015/9/5 10:00 16.91
2015/9/5 11:00 16.40
2015/9/5 12:00 15.87
2015/9/5 13:00 14.69
2015/9/5 14:00 14.23
2015/9/5 15:00 13.18
2015/9/5 16:00 14.01
2015/9/5 17:00 16.26
2015/9/5 18:00 16.70
2015/9/5 19:00 16.70
2015/9/5 20:00 16.90
2015/9/5 21:00 16.68
2015/9/5 22:00 13.91
2015/9/5 23:00 10.61
 2015/9/6 0:00 10.22
 2015/9/6 1:00  4.63
 2015/9/6 2:00  4.01
 2015/9/6 3:00  3.76
 2015/9/6 4:00  3.68
 2015/9/6 5:00  3.38
 2015/9/6 6:00  3.62
 2015/9/6 7:00  5.77
 2015/9/6 8:00 10.38
 2015/9/6 9:00 12.10
2015/9/6 10:00 12.15
2015/9/6 11:00 12.89
2015/9/6 12:00 12.12
2015/9/6 13:00 11.86
2015/9/6 14:00 11.65
2015/9/6 15:00 11.94
2015/9/6 16:00 13.37
2015/9/6 17:00 14.82
2015/9/6 18:00 16.20
2015/9/6 19:00 17.55
2015/9/6 20:00 18.19
2015/9/6 21:00 17.99
2015/9/6 22:00 17.01
2015/9/6 23:00 15.92
 2015/9/7 0:00 15.95
 2015/9/7 1:00 14.89
 2015/9/7 2:00 14.76
 2015/9/7 3:00 15.03
 2015/9/7 4:00 13.83
 2015/9/7 5:00 16.84
 2015/9/7 6:00 20.08
 2015/9/7 7:00 23.74
 2015/9/7 8:00 25.97
 2015/9/7 9:00 25.28
2015/9/7 10:00 24.98
2015/9/7 11:00 24.70
2015/9/7 12:00 24.77
2015/9/7 13:00 23.71
2015/9/7 14:00 22.66
2015/9/7 15:00 21.85
2015/9/7 16:00 21.41
2015/9/7 17:00 21.51
2015/9/7 18:00 21.95
2015/9/7 19:00 21.95
2015/9/7 20:00 21.50
2015/9/7 21:00 21.10
2015/9/7 22:00 19.48
2015/9/7 23:00 16.99And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
