You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date     OT
 2013/3/26 0:00 44.770
 2013/3/26 1:00 44.580
 2013/3/26 2:00 44.680
 2013/3/26 3:00 45.070
 2013/3/26 4:00 45.460
 2013/3/26 5:00 46.150
 2013/3/26 6:00 46.850
 2013/3/26 7:00 48.680
 2013/3/26 8:00 48.030
 2013/3/26 9:00 47.170
2013/3/26 10:00 46.380
2013/3/26 11:00 45.530
2013/3/26 12:00 44.850
2013/3/26 13:00 44.850
2013/3/26 14:00 44.900
2013/3/26 15:00 44.610
2013/3/26 16:00 44.500
2013/3/26 17:00 45.050
2013/3/26 18:00 47.310
2013/3/26 19:00 49.080
2013/3/26 20:00 46.880
2013/3/26 21:00 45.940
2013/3/26 22:00 45.450
2013/3/26 23:00 44.140
 2013/3/27 0:00 45.530
 2013/3/27 1:00 45.560
 2013/3/27 2:00 45.770
 2013/3/27 3:00 46.250
 2013/3/27 4:00 46.910
 2013/3/27 5:00 47.370
 2013/3/27 6:00 48.060
 2013/3/27 7:00 53.030
 2013/3/27 8:00 53.150
 2013/3/27 9:00 48.340
2013/3/27 10:00 47.380
2013/3/27 11:00 46.570
2013/3/27 12:00 46.100
2013/3/27 13:00 46.030
2013/3/27 14:00 46.030
2013/3/27 15:00 45.840
2013/3/27 16:00 46.010
2013/3/27 17:00 46.860
2013/3/27 18:00 49.280
2013/3/27 19:00 50.590
2013/3/27 20:00 49.190
2013/3/27 21:00 48.010
2013/3/27 22:00 46.750
2013/3/27 23:00 45.190
 2013/3/28 0:00 47.070
 2013/3/28 1:00 46.830
 2013/3/28 2:00 46.920
 2013/3/28 3:00 47.390
 2013/3/28 4:00 48.050
 2013/3/28 5:00 49.870
 2013/3/28 6:00 49.160
 2013/3/28 7:00 51.670
 2013/3/28 8:00 49.740
 2013/3/28 9:00 48.760
2013/3/28 10:00 48.780
2013/3/28 11:00 47.590
2013/3/28 12:00 47.010
2013/3/28 13:00 46.840
2013/3/28 14:00 46.770
2013/3/28 15:00 47.000
2013/3/28 16:00 47.870
2013/3/28 17:00 48.770
2013/3/28 18:00 50.500
2013/3/28 19:00 50.790
2013/3/28 20:00 50.330
2013/3/28 21:00 49.940
2013/3/28 22:00 49.400
2013/3/28 23:00 46.910
 2013/3/29 0:00 46.840
 2013/3/29 1:00 46.630
 2013/3/29 2:00 46.790
 2013/3/29 3:00 47.100
 2013/3/29 4:00 47.170
 2013/3/29 5:00 47.400
 2013/3/29 6:00 47.020
 2013/3/29 7:00 46.750
 2013/3/29 8:00 46.890
 2013/3/29 9:00 47.220
2013/3/29 10:00 47.250
2013/3/29 11:00 46.860
2013/3/29 12:00 46.360
2013/3/29 13:00 46.280
2013/3/29 14:00 46.290
2013/3/29 15:00 46.330
2013/3/29 16:00 46.480
2013/3/29 17:00 47.910
2013/3/29 18:00 48.270
2013/3/29 19:00 49.890
2013/3/29 20:00 48.490
2013/3/29 21:00 47.510
2013/3/29 22:00 47.200
2013/3/29 23:00 46.790
 2013/3/30 0:00 47.070
 2013/3/30 1:00 46.880
 2013/3/30 2:00 46.820
 2013/3/30 3:00 46.920
 2013/3/30 4:00 47.070
 2013/3/30 5:00 47.380
 2013/3/30 6:00 47.270
 2013/3/30 7:00 47.400
 2013/3/30 8:00 47.390
 2013/3/30 9:00 47.460
2013/3/30 10:00 47.480
2013/3/30 11:00 47.300
2013/3/30 12:00 47.020
2013/3/30 13:00 46.640
2013/3/30 14:00 46.470
2013/3/30 15:00 46.420
2013/3/30 16:00 46.420
2013/3/30 17:00 46.920
2013/3/30 18:00 48.190
2013/3/30 19:00 49.110
2013/3/30 20:00 47.550
2013/3/30 21:00 46.900
2013/3/30 22:00 46.990
2013/3/30 23:00 46.460
 2013/3/31 0:00 47.020
 2013/3/31 1:00 46.640
