You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2014/12/30 0:00 29.75
 2014/12/30 1:00 29.14
 2014/12/30 2:00 28.96
 2014/12/30 3:00 28.87
 2014/12/30 4:00 28.96
 2014/12/30 5:00 29.43
 2014/12/30 6:00 30.27
 2014/12/30 7:00 31.89
 2014/12/30 8:00 32.99
 2014/12/30 9:00 33.11
2014/12/30 10:00 33.22
2014/12/30 11:00 32.65
2014/12/30 12:00 32.10
2014/12/30 13:00 31.99
2014/12/30 14:00 32.48
2014/12/30 15:00 33.00
2014/12/30 16:00 33.43
2014/12/30 17:00 33.62
2014/12/30 18:00 33.11
2014/12/30 19:00 32.02
2014/12/30 20:00 30.96
2014/12/30 21:00 30.71
2014/12/30 22:00 30.19
2014/12/30 23:00 29.62
 2014/12/31 0:00 28.93
 2014/12/31 1:00 28.19
 2014/12/31 2:00 27.26
 2014/12/31 3:00 27.05
 2014/12/31 4:00 27.19
 2014/12/31 5:00 28.02
 2014/12/31 6:00 28.37
 2014/12/31 7:00 29.02
 2014/12/31 8:00 29.55
 2014/12/31 9:00 29.85
2014/12/31 10:00 29.84
2014/12/31 11:00 29.78
2014/12/31 12:00 29.65
2014/12/31 13:00 29.61
2014/12/31 14:00 29.84
2014/12/31 15:00 30.16
2014/12/31 16:00 30.72
2014/12/31 17:00 30.77
2014/12/31 18:00 30.20
2014/12/31 19:00 29.54
2014/12/31 20:00 29.10
2014/12/31 21:00 28.83
2014/12/31 22:00 28.61
2014/12/31 23:00 28.09
   2015/1/1 0:00 27.48
   2015/1/1 1:00 26.68
   2015/1/1 2:00 26.23
   2015/1/1 3:00 25.95
   2015/1/1 4:00 25.91
   2015/1/1 5:00 26.24
   2015/1/1 6:00 26.81
   2015/1/1 7:00 26.82
   2015/1/1 8:00 26.96
   2015/1/1 9:00 26.74
  2015/1/1 10:00 26.75
  2015/1/1 11:00 26.77
  2015/1/1 12:00 26.79
  2015/1/1 13:00 26.59
  2015/1/1 14:00 27.01
  2015/1/1 15:00 27.62
  2015/1/1 16:00 28.29
  2015/1/1 17:00 28.34
  2015/1/1 18:00 28.22
  2015/1/1 19:00 27.91
  2015/1/1 20:00 27.54
  2015/1/1 21:00 27.13
  2015/1/1 22:00 26.92
  2015/1/1 23:00 25.96
   2015/1/2 0:00 24.79
   2015/1/2 1:00 22.23
   2015/1/2 2:00 20.93
   2015/1/2 3:00 18.57
   2015/1/2 4:00 18.59
   2015/1/2 5:00 24.55
   2015/1/2 6:00 27.10
   2015/1/2 7:00 28.34
   2015/1/2 8:00 28.40
   2015/1/2 9:00 28.38
  2015/1/2 10:00 28.34
  2015/1/2 11:00 28.40
  2015/1/2 12:00 28.32
  2015/1/2 13:00 28.22
  2015/1/2 14:00 28.16
  2015/1/2 15:00 28.34
  2015/1/2 16:00 28.67
  2015/1/2 17:00 28.75
  2015/1/2 18:00 28.55
  2015/1/2 19:00 28.44
  2015/1/2 20:00 27.94
  2015/1/2 21:00 27.51
  2015/1/2 22:00 27.20
  2015/1/2 23:00 26.09
   2015/1/3 0:00 24.61
   2015/1/3 1:00 24.11
   2015/1/3 2:00 23.31
   2015/1/3 3:00 23.33
   2015/1/3 4:00 23.44
   2015/1/3 5:00 24.28
   2015/1/3 6:00 24.40
   2015/1/3 7:00 26.36
   2015/1/3 8:00 26.65
   2015/1/3 9:00 27.50
  2015/1/3 10:00 27.72
  2015/1/3 11:00 27.77
  2015/1/3 12:00 27.72
  2015/1/3 13:00 27.71
  2015/1/3 14:00 27.87
  2015/1/3 15:00 28.40
  2015/1/3 16:00 28.97
  2015/1/3 17:00 29.40
  2015/1/3 18:00 29.46
  2015/1/3 19:00 28.98
  2015/1/3 20:00 28.40
  2015/1/3 21:00 27.96
  2015/1/3 22:00 27.76
  2015/1/3 23:00 27.22
   2015/1/4 0:00 27.42
   2015/1/4 1:00 27.08
   2015/1/4 2:00 26.81
   2015/1/4 3:00 26.57
   2015/1/4 4:00 26.64
   2015/1/4 5:00 27.02
   2015/1/4 6:00 27.09
   2015/1/4 7:00 27.16
   2015/1/4 8:00 27.64
   2015/1/4 9:00 28.03
  2015/1/4 10:00 28.22
  2015/1/4 11:00 28.28
  2015/1/4 12:00 28.23
  2015/1/4 13:00 28.25
  2015/1/4 14:00 28.33
  2015/1/4 15:00 28.66
  2015/1/4 16:00 29.28
  2015/1/4 17:00 29.68
  2015/1/4 18:00 29.86
  2015/1/4 19:00 29.71
  2015/1/4 20:00 29.22
  2015/1/4 21:00 28.88
  2015/1/4 22:00 28.82
  2015/1/4 23:00 28.05
   2015/1/5 0:00 28.54
   2015/1/5 1:00 28.43
   2015/1/5 2:00 28.41
   2015/1/5 3:00 28.37
   2015/1/5 4:00 28.50
   2015/1/5 5:00 29.32
   2015/1/5 6:00 30.48
   2015/1/5 7:00 32.96
   2015/1/5 8:00 38.45
   2015/1/5 9:00 40.19
  2015/1/5 10:00 39.61
  2015/1/5 11:00 39.64
  2015/1/5 12:00 39.21
  2015/1/5 13:00 39.72
  2015/1/5 14:00 40.72
  2015/1/5 15:00 42.11
  2015/1/5 16:00 46.05
  2015/1/5 17:00 48.72
  2015/1/5 18:00 48.75
  2015/1/5 19:00 46.02
  2015/1/5 20:00 37.17
  2015/1/5 21:00 34.35
  2015/1/5 22:00 31.83
  2015/1/5 23:00 29.73And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
