You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2016/10/11 0:00 29.04
 2016/10/11 1:00 28.73
 2016/10/11 2:00 28.47
 2016/10/11 3:00 28.52
 2016/10/11 4:00 28.85
 2016/10/11 5:00 29.61
 2016/10/11 6:00 31.61
 2016/10/11 7:00 35.50
 2016/10/11 8:00 35.49
 2016/10/11 9:00 35.47
2016/10/11 10:00 34.88
2016/10/11 11:00 34.07
2016/10/11 12:00 33.91
2016/10/11 13:00 33.79
2016/10/11 14:00 33.08
2016/10/11 15:00 32.76
2016/10/11 16:00 32.84
2016/10/11 17:00 34.08
2016/10/11 18:00 34.94
2016/10/11 19:00 35.29
2016/10/11 20:00 32.32
2016/10/11 21:00 30.92
2016/10/11 22:00 29.98
2016/10/11 23:00 29.27
 2016/10/12 0:00 28.88
 2016/10/12 1:00 28.32
 2016/10/12 2:00 28.12
 2016/10/12 3:00 28.25
 2016/10/12 4:00 28.77
 2016/10/12 5:00 30.00
 2016/10/12 6:00 32.33
 2016/10/12 7:00 36.71
 2016/10/12 8:00 37.36
 2016/10/12 9:00 36.71
2016/10/12 10:00 35.51
2016/10/12 11:00 35.61
2016/10/12 12:00 35.25
2016/10/12 13:00 35.21
2016/10/12 14:00 34.72
2016/10/12 15:00 33.95
2016/10/12 16:00 33.94
2016/10/12 17:00 35.68
2016/10/12 18:00 35.88
2016/10/12 19:00 36.85
2016/10/12 20:00 34.42
2016/10/12 21:00 32.51
2016/10/12 22:00 31.38
2016/10/12 23:00 29.94
 2016/10/13 0:00 29.50
 2016/10/13 1:00 28.93
 2016/10/13 2:00 28.48
 2016/10/13 3:00 28.54
 2016/10/13 4:00 29.07
 2016/10/13 5:00 30.77
 2016/10/13 6:00 34.26
 2016/10/13 7:00 37.91
 2016/10/13 8:00 39.42
 2016/10/13 9:00 38.48
2016/10/13 10:00 37.79
2016/10/13 11:00 36.55
2016/10/13 12:00 35.64
2016/10/13 13:00 35.65
2016/10/13 14:00 34.88
2016/10/13 15:00 34.09
2016/10/13 16:00 33.97
2016/10/13 17:00 34.87
2016/10/13 18:00 35.77
2016/10/13 19:00 35.60
2016/10/13 20:00 33.73
2016/10/13 21:00 31.93
2016/10/13 22:00 30.35
2016/10/13 23:00 29.27
 2016/10/14 0:00 28.69
 2016/10/14 1:00 28.20
 2016/10/14 2:00 27.99
 2016/10/14 3:00 28.07
 2016/10/14 4:00 28.44
 2016/10/14 5:00 30.06
 2016/10/14 6:00 32.36
 2016/10/14 7:00 35.52
 2016/10/14 8:00 36.55
 2016/10/14 9:00 35.47
2016/10/14 10:00 34.71
2016/10/14 11:00 33.10
2016/10/14 12:00 32.64
2016/10/14 13:00 31.71
2016/10/14 14:00 31.21
2016/10/14 15:00 31.20
2016/10/14 16:00 31.10
