You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2013/12/10 0:00 34.90
 2013/12/10 1:00 33.92
 2013/12/10 2:00 33.16
 2013/12/10 3:00 33.17
 2013/12/10 4:00 34.15
 2013/12/10 5:00 36.10
 2013/12/10 6:00 38.72
 2013/12/10 7:00 43.17
 2013/12/10 8:00 45.84
 2013/12/10 9:00 42.96
2013/12/10 10:00 41.79
2013/12/10 11:00 40.95
2013/12/10 12:00 40.01
2013/12/10 13:00 40.16
2013/12/10 14:00 40.31
2013/12/10 15:00 40.96
2013/12/10 16:00 42.54
2013/12/10 17:00 42.74
2013/12/10 18:00 39.11
2013/12/10 19:00 37.51
2013/12/10 20:00 36.72
2013/12/10 21:00 36.00
2013/12/10 22:00 35.02
2013/12/10 23:00 34.38
 2013/12/11 0:00 33.49
 2013/12/11 1:00 32.09
 2013/12/11 2:00 32.07
 2013/12/11 3:00 32.20
 2013/12/11 4:00 32.56
 2013/12/11 5:00 34.21
 2013/12/11 6:00 36.22
 2013/12/11 7:00 37.87
 2013/12/11 8:00 38.82
 2013/12/11 9:00 38.52
2013/12/11 10:00 37.64
2013/12/11 11:00 37.40
2013/12/11 12:00 37.36
2013/12/11 13:00 37.50
2013/12/11 14:00 37.84
2013/12/11 15:00 38.96
2013/12/11 16:00 39.78
2013/12/11 17:00 39.79
2013/12/11 18:00 38.52
2013/12/11 19:00 37.34
2013/12/11 20:00 36.61
2013/12/11 21:00 35.90
2013/12/11 22:00 34.99
2013/12/11 23:00 33.97
 2013/12/12 0:00 32.23
 2013/12/12 1:00 31.72
 2013/12/12 2:00 31.54
 2013/12/12 3:00 31.59
 2013/12/12 4:00 31.97
 2013/12/12 5:00 32.90
 2013/12/12 6:00 34.80
 2013/12/12 7:00 35.72
 2013/12/12 8:00 36.31
 2013/12/12 9:00 35.63
2013/12/12 10:00 35.44
2013/12/12 11:00 35.30
2013/12/12 12:00 34.97
2013/12/12 13:00 35.07
2013/12/12 14:00 35.15
2013/12/12 15:00 35.46
2013/12/12 16:00 35.76
2013/12/12 17:00 35.76
2013/12/12 18:00 35.19
2013/12/12 19:00 34.37
2013/12/12 20:00 33.96
2013/12/12 21:00 33.55
2013/12/12 22:00 32.69
2013/12/12 23:00 31.66
 2013/12/13 0:00 30.46
 2013/12/13 1:00 30.17
 2013/12/13 2:00 30.04
 2013/12/13 3:00 30.83
 2013/12/13 4:00 31.50
 2013/12/13 5:00 32.64
 2013/12/13 6:00 33.97
 2013/12/13 7:00 36.21
 2013/12/13 8:00 36.71
 2013/12/13 9:00 35.95
2013/12/13 10:00 35.66
2013/12/13 11:00 35.61
2013/12/13 12:00 35.39
2013/12/13 13:00 35.64
2013/12/13 14:00 35.68
2013/12/13 15:00 36.11
2013/12/13 16:00 36.61
2013/12/13 17:00 37.32
2013/12/13 18:00 35.87
2013/12/13 19:00 34.86
2013/12/13 20:00 34.29
2013/12/13 21:00 33.91
2013/12/13 22:00 33.10
2013/12/13 23:00 32.68
 2013/12/14 0:00 32.17
 2013/12/14 1:00 31.55
 2013/12/14 2:00 31.41
 2013/12/14 3:00 31.43
 2013/12/14 4:00 31.52
 2013/12/14 5:00 32.00
 2013/12/14 6:00 32.05
 2013/12/14 7:00 32.42
 2013/12/14 8:00 32.74
 2013/12/14 9:00 32.90
2013/12/14 10:00 33.35
2013/12/14 11:00 33.37
2013/12/14 12:00 33.06
2013/12/14 13:00 32.90
2013/12/14 14:00 32.96
2013/12/14 15:00 33.61
2013/12/14 16:00 34.08
2013/12/14 17:00 34.34
2013/12/14 18:00 34.11
