You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2015/9/15 0:00 12.74
 2015/9/15 1:00 11.64
 2015/9/15 2:00 11.49
 2015/9/15 3:00 11.18
 2015/9/15 4:00 11.77
 2015/9/15 5:00 13.34
 2015/9/15 6:00 17.86
 2015/9/15 7:00 21.48
 2015/9/15 8:00 22.17
 2015/9/15 9:00 22.20
2015/9/15 10:00 21.88
2015/9/15 11:00 21.61
2015/9/15 12:00 21.57
2015/9/15 13:00 21.55
2015/9/15 14:00 20.77
2015/9/15 15:00 21.13
2015/9/15 16:00 21.13
2015/9/15 17:00 21.62
2015/9/15 18:00 21.85
2015/9/15 19:00 22.23
2015/9/15 20:00 21.91
2015/9/15 21:00 20.55
2015/9/15 22:00 17.87
2015/9/15 23:00 14.94
 2015/9/16 0:00 13.80
 2015/9/16 1:00 13.36
 2015/9/16 2:00 13.49
 2015/9/16 3:00 14.01
 2015/9/16 4:00 14.52
 2015/9/16 5:00 15.90
 2015/9/16 6:00 20.73
 2015/9/16 7:00 23.71
 2015/9/16 8:00 25.04
 2015/9/16 9:00 25.59
2015/9/16 10:00 25.44
2015/9/16 11:00 24.95
2015/9/16 12:00 24.39
2015/9/16 13:00 24.36
2015/9/16 14:00 23.22
2015/9/16 15:00 23.16
2015/9/16 16:00 22.57
2015/9/16 17:00 22.55
2015/9/16 18:00 22.35
2015/9/16 19:00 22.47
2015/9/16 20:00 21.45
2015/9/16 21:00 20.26
2015/9/16 22:00 16.65
2015/9/16 23:00 14.06
 2015/9/17 0:00 14.02
 2015/9/17 1:00 12.54
 2015/9/17 2:00 12.15
 2015/9/17 3:00 12.08
 2015/9/17 4:00 12.18
 2015/9/17 5:00 15.06
 2015/9/17 6:00 20.25
 2015/9/17 7:00 22.53
 2015/9/17 8:00 23.57
 2015/9/17 9:00 23.18
2015/9/17 10:00 22.71
2015/9/17 11:00 21.95
2015/9/17 12:00 21.75
2015/9/17 13:00 21.48
2015/9/17 14:00 20.80
2015/9/17 15:00 20.83
2015/9/17 16:00 20.82
2015/9/17 17:00 20.86
2015/9/17 18:00 20.81
2015/9/17 19:00 21.16
2015/9/17 20:00 20.45
2015/9/17 21:00 19.02
2015/9/17 22:00 15.88
2015/9/17 23:00 13.87
 2015/9/18 0:00 10.01
 2015/9/18 1:00  5.49
 2015/9/18 2:00  4.29
 2015/9/18 3:00  4.03
 2015/9/18 4:00  4.86
 2015/9/18 5:00  9.08
 2015/9/18 6:00 15.93
 2015/9/18 7:00 19.00
 2015/9/18 8:00 20.29
 2015/9/18 9:00 20.27
2015/9/18 10:00 20.21
2015/9/18 11:00 19.69
2015/9/18 12:00 18.53
2015/9/18 13:00 17.60
2015/9/18 14:00 16.10
2015/9/18 15:00 16.11
2015/9/18 16:00 16.03
2015/9/18 17:00 16.97
2015/9/18 18:00 17.88
2015/9/18 19:00 18.92
2015/9/18 20:00 17.48
2015/9/18 21:00 15.79
2015/9/18 22:00 15.10
