You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2016/4/26 0:00 21.71
 2016/4/26 1:00 20.95
 2016/4/26 2:00 21.00
 2016/4/26 3:00 20.72
 2016/4/26 4:00 21.21
 2016/4/26 5:00 22.79
 2016/4/26 6:00 24.84
 2016/4/26 7:00 27.68
 2016/4/26 8:00 31.49
 2016/4/26 9:00 29.76
2016/4/26 10:00 27.97
2016/4/26 11:00 26.89
2016/4/26 12:00 26.90
2016/4/26 13:00 26.38
2016/4/26 14:00 25.60
2016/4/26 15:00 24.50
2016/4/26 16:00 24.37
2016/4/26 17:00 25.06
2016/4/26 18:00 25.09
2016/4/26 19:00 25.06
2016/4/26 20:00 24.43
2016/4/26 21:00 24.40
2016/4/26 22:00 24.21
2016/4/26 23:00 22.81
 2016/4/27 0:00 22.08
 2016/4/27 1:00 21.68
 2016/4/27 2:00 21.65
 2016/4/27 3:00 21.36
 2016/4/27 4:00 21.62
 2016/4/27 5:00 22.85
 2016/4/27 6:00 23.83
 2016/4/27 7:00 27.33
 2016/4/27 8:00 29.92
 2016/4/27 9:00 29.33
2016/4/27 10:00 26.90
2016/4/27 11:00 25.85
2016/4/27 12:00 24.67
2016/4/27 13:00 24.46
2016/4/27 14:00 23.77
2016/4/27 15:00 23.34
2016/4/27 16:00 23.66
2016/4/27 17:00 23.80
2016/4/27 18:00 24.20
2016/4/27 19:00 24.08
2016/4/27 20:00 23.86
2016/4/27 21:00 24.13
2016/4/27 22:00 23.93
2016/4/27 23:00 23.26
 2016/4/28 0:00 22.37
 2016/4/28 1:00 22.24
 2016/4/28 2:00 22.24
 2016/4/28 3:00 22.27
 2016/4/28 4:00 22.84
 2016/4/28 5:00 24.06
 2016/4/28 6:00 24.39
 2016/4/28 7:00 29.45
 2016/4/28 8:00 35.36
 2016/4/28 9:00 32.29
2016/4/28 10:00 29.86
2016/4/28 11:00 28.45
2016/4/28 12:00 26.07
2016/4/28 13:00 24.96
2016/4/28 14:00 25.55
2016/4/28 15:00 24.36
2016/4/28 16:00 24.29
2016/4/28 17:00 24.20
2016/4/28 18:00 23.98
2016/4/28 19:00 24.04
2016/4/28 20:00 24.08
2016/4/28 21:00 24.22
2016/4/28 22:00 24.06
2016/4/28 23:00 23.49
 2016/4/29 0:00 22.28
 2016/4/29 1:00 21.72
 2016/4/29 2:00 21.50
 2016/4/29 3:00 21.53
 2016/4/29 4:00 21.66
 2016/4/29 5:00 22.26
 2016/4/29 6:00 23.03
 2016/4/29 7:00 25.42
 2016/4/29 8:00 27.57
 2016/4/29 9:00 23.68
2016/4/29 10:00 22.82
2016/4/29 11:00 22.44
2016/4/29 12:00 22.36
2016/4/29 13:00 22.12
2016/4/29 14:00 21.91
2016/4/29 15:00 21.97
2016/4/29 16:00 22.33
2016/4/29 17:00 22.51
2016/4/29 18:00 22.69
2016/4/29 19:00 22.70
2016/4/29 20:00 22.53
2016/4/29 21:00 22.44
2016/4/29 22:00 22.13
2016/4/29 23:00 21.88
 2016/4/30 0:00 22.07
 2016/4/30 1:00 21.74
 2016/4/30 2:00 21.67
 2016/4/30 3:00 21.75
 2016/4/30 4:00 21.79
 2016/4/30 5:00 21.74
 2016/4/30 6:00 21.53
 2016/4/30 7:00 22.49
 2016/4/30 8:00 22.58
 2016/4/30 9:00 23.55
2016/4/30 10:00 23.76
2016/4/30 11:00 23.19
2016/4/30 12:00 22.19
2016/4/30 13:00 21.82
2016/4/30 14:00 21.43
2016/4/30 15:00 21.19
2016/4/30 16:00 21.44
2016/4/30 17:00 21.99
2016/4/30 18:00 23.57
2016/4/30 19:00 23.48
2016/4/30 20:00 23.45
2016/4/30 21:00 23.83
2016/4/30 22:00 23.46
2016/4/30 23:00 23.01
  2016/5/1 0:00 22.05
  2016/5/1 1:00 20.59
  2016/5/1 2:00 20.20
  2016/5/1 3:00 20.25
  2016/5/1 4:00 20.25
  2016/5/1 5:00 20.24
  2016/5/1 6:00 20.20
  2016/5/1 7:00 20.71
  2016/5/1 8:00 21.06
  2016/5/1 9:00 21.51
 2016/5/1 10:00 22.00
 2016/5/1 11:00 22.03
 2016/5/1 12:00 21.59
 2016/5/1 13:00 21.25
 2016/5/1 14:00 21.05
 2016/5/1 15:00 20.91
 2016/5/1 16:00 20.93
 2016/5/1 17:00 21.22
 2016/5/1 18:00 21.76
 2016/5/1 19:00 23.37
 2016/5/1 20:00 24.11
 2016/5/1 21:00 24.65
 2016/5/1 22:00 24.37
 2016/5/1 23:00 23.77
  2016/5/2 0:00 21.98
  2016/5/2 1:00 20.75
  2016/5/2 2:00 20.48
  2016/5/2 3:00 20.52
  2016/5/2 4:00 20.64
  2016/5/2 5:00 22.91
  2016/5/2 6:00 24.65
  2016/5/2 7:00 29.88
  2016/5/2 8:00 31.15
  2016/5/2 9:00 28.20
 2016/5/2 10:00 27.41
 2016/5/2 11:00 25.47
 2016/5/2 12:00 24.49
 2016/5/2 13:00 24.38
 2016/5/2 14:00 24.10
 2016/5/2 15:00 24.18
 2016/5/2 16:00 23.95
 2016/5/2 17:00 23.90
 2016/5/2 18:00 23.84
 2016/5/2 19:00 23.89
