You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
            date    OT
 2016/11/29 0:00 34.65
 2016/11/29 1:00 34.17
 2016/11/29 2:00 33.52
 2016/11/29 3:00 33.35
 2016/11/29 4:00 34.12
 2016/11/29 5:00 34.56
 2016/11/29 6:00 37.44
 2016/11/29 7:00 40.79
 2016/11/29 8:00 43.57
 2016/11/29 9:00 41.34
2016/11/29 10:00 39.79
2016/11/29 11:00 39.02
2016/11/29 12:00 38.51
2016/11/29 13:00 38.60
2016/11/29 14:00 38.47
2016/11/29 15:00 38.95
2016/11/29 16:00 39.64
2016/11/29 17:00 39.41
2016/11/29 18:00 37.91
2016/11/29 19:00 36.34
2016/11/29 20:00 34.98
2016/11/29 21:00 34.09
2016/11/29 22:00 32.72
2016/11/29 23:00 30.96
 2016/11/30 0:00 29.98
 2016/11/30 1:00 29.58
 2016/11/30 2:00 29.53
 2016/11/30 3:00 29.21
 2016/11/30 4:00 29.84
 2016/11/30 5:00 31.28
 2016/11/30 6:00 34.06
 2016/11/30 7:00 36.86
 2016/11/30 8:00 37.68
 2016/11/30 9:00 37.42
2016/11/30 10:00 36.43
2016/11/30 11:00 36.54
2016/11/30 12:00 36.16
2016/11/30 13:00 36.09
2016/11/30 14:00 36.50
2016/11/30 15:00 37.10
2016/11/30 16:00 38.59
2016/11/30 17:00 38.80
2016/11/30 18:00 37.85
2016/11/30 19:00 36.43
2016/11/30 20:00 34.93
2016/11/30 21:00 33.75
2016/11/30 22:00 32.58
2016/11/30 23:00 31.23
  2016/12/1 0:00 30.97
  2016/12/1 1:00 30.19
  2016/12/1 2:00 30.23
  2016/12/1 3:00 30.28
  2016/12/1 4:00 31.07
  2016/12/1 5:00 32.45
  2016/12/1 6:00 34.61
  2016/12/1 7:00 36.59
  2016/12/1 8:00 37.44
  2016/12/1 9:00 36.23
 2016/12/1 10:00 36.00
 2016/12/1 11:00 35.63
 2016/12/1 12:00 35.97
 2016/12/1 13:00 35.58
 2016/12/1 14:00 35.26
 2016/12/1 15:00 35.58
 2016/12/1 16:00 36.51
 2016/12/1 17:00 37.07
 2016/12/1 18:00 35.66
 2016/12/1 19:00 34.91
 2016/12/1 20:00 33.64
 2016/12/1 21:00 33.06
 2016/12/1 22:00 32.17
 2016/12/1 23:00 30.71
  2016/12/2 0:00 30.52
  2016/12/2 1:00 30.07
  2016/12/2 2:00 29.63
  2016/12/2 3:00 29.61
  2016/12/2 4:00 30.68
  2016/12/2 5:00 32.34
  2016/12/2 6:00 34.00
  2016/12/2 7:00 38.02
  2016/12/2 8:00 38.46
  2016/12/2 9:00 37.83
 2016/12/2 10:00 37.06
 2016/12/2 11:00 37.07
 2016/12/2 12:00 37.17
 2016/12/2 13:00 37.47
 2016/12/2 14:00 37.47
 2016/12/2 15:00 38.33
 2016/12/2 16:00 39.38
 2016/12/2 17:00 40.40
 2016/12/2 18:00 39.27
 2016/12/2 19:00 37.44
 2016/12/2 20:00 36.46
 2016/12/2 21:00 36.57
 2016/12/2 22:00 35.88
 2016/12/2 23:00 34.49
  2016/12/3 0:00 33.45
  2016/12/3 1:00 32.87
  2016/12/3 2:00 33.45
  2016/12/3 3:00 33.16
  2016/12/3 4:00 33.32
  2016/12/3 5:00 33.35
  2016/12/3 6:00 34.82
  2016/12/3 7:00 34.99
  2016/12/3 8:00 36.27
  2016/12/3 9:00 37.29
 2016/12/3 10:00 37.23
 2016/12/3 11:00 37.00
 2016/12/3 12:00 35.63
 2016/12/3 13:00 35.47
 2016/12/3 14:00 36.15
 2016/12/3 15:00 37.48
 2016/12/3 16:00 39.10
 2016/12/3 17:00 39.81
 2016/12/3 18:00 39.23
 2016/12/3 19:00 37.48
 2016/12/3 20:00 36.89
 2016/12/3 21:00 36.63
 2016/12/3 22:00 36.29
 2016/12/3 23:00 34.32
  2016/12/4 0:00 34.35
  2016/12/4 1:00 33.44
  2016/12/4 2:00 33.73
  2016/12/4 3:00 33.75
  2016/12/4 4:00 33.28
  2016/12/4 5:00 33.26
  2016/12/4 6:00 33.59
  2016/12/4 7:00 33.61
  2016/12/4 8:00 34.28
  2016/12/4 9:00 34.98
 2016/12/4 10:00 34.89
 2016/12/4 11:00 34.98
 2016/12/4 12:00 34.38
 2016/12/4 13:00 33.92
 2016/12/4 14:00 33.88
 2016/12/4 15:00 34.58
 2016/12/4 16:00 36.60
 2016/12/4 17:00 36.69
 2016/12/4 18:00 36.22
 2016/12/4 19:00 35.32
 2016/12/4 20:00 34.41
 2016/12/4 21:00 33.97
 2016/12/4 22:00 33.30
 2016/12/4 23:00 32.05
  2016/12/5 0:00 31.44
  2016/12/5 1:00 30.87
  2016/12/5 2:00 30.56
  2016/12/5 3:00 30.57
  2016/12/5 4:00 31.21
  2016/12/5 5:00 32.41
  2016/12/5 6:00 34.46
  2016/12/5 7:00 36.26
  2016/12/5 8:00 36.77
  2016/12/5 9:00 35.84
 2016/12/5 10:00 35.53
 2016/12/5 11:00 35.43
 2016/12/5 12:00 35.54
 2016/12/5 13:00 36.11
 2016/12/5 14:00 36.61
 2016/12/5 15:00 37.42
 2016/12/5 16:00 38.76
 2016/12/5 17:00 38.79
 2016/12/5 18:00 38.32
 2016/12/5 19:00 37.04
 2016/12/5 20:00 36.17
 2016/12/5 21:00 34.98
 2016/12/5 22:00 33.86
 2016/12/5 23:00 32.88And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
