You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2015/6/2 0:00 16.90
 2015/6/2 1:00 12.14
 2015/6/2 2:00  9.99
 2015/6/2 3:00  8.51
 2015/6/2 4:00  8.00
 2015/6/2 5:00 11.15
 2015/6/2 6:00 18.87
 2015/6/2 7:00 20.78
 2015/6/2 8:00 21.58
 2015/6/2 9:00 21.21
2015/6/2 10:00 21.00
2015/6/2 11:00 20.64
2015/6/2 12:00 19.48
2015/6/2 13:00 18.65
2015/6/2 14:00 17.95
2015/6/2 15:00 17.57
2015/6/2 16:00 17.48
2015/6/2 17:00 17.61
2015/6/2 18:00 18.45
2015/6/2 19:00 18.16
2015/6/2 20:00 17.57
2015/6/2 21:00 17.12
2015/6/2 22:00 15.48
2015/6/2 23:00  9.06
 2015/6/3 0:00  9.15
 2015/6/3 1:00  6.56
 2015/6/3 2:00  5.62
 2015/6/3 3:00  4.93
 2015/6/3 4:00  5.85
 2015/6/3 5:00  9.90
 2015/6/3 6:00 17.54
 2015/6/3 7:00 19.40
 2015/6/3 8:00 20.15
 2015/6/3 9:00 20.31
2015/6/3 10:00 20.27
2015/6/3 11:00 19.97
2015/6/3 12:00 19.88
2015/6/3 13:00 19.85
2015/6/3 14:00 19.67
2015/6/3 15:00 19.31
2015/6/3 16:00 18.73
2015/6/3 17:00 18.51
2015/6/3 18:00 18.40
2015/6/3 19:00 18.42
2015/6/3 20:00 18.28
2015/6/3 21:00 17.88
2015/6/3 22:00 17.15
2015/6/3 23:00 12.78
 2015/6/4 0:00 13.17
 2015/6/4 1:00 11.33
 2015/6/4 2:00 10.81
 2015/6/4 3:00 11.16
 2015/6/4 4:00 14.82
 2015/6/4 5:00 16.56
 2015/6/4 6:00 18.78
 2015/6/4 7:00 23.69
 2015/6/4 8:00 24.41
 2015/6/4 9:00 23.89
