You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
           date    OT
 2015/2/24 0:00 24.98
 2015/2/24 1:00 24.64
 2015/2/24 2:00 23.90
 2015/2/24 3:00 24.00
 2015/2/24 4:00 24.93
 2015/2/24 5:00 25.51
 2015/2/24 6:00 26.50
 2015/2/24 7:00 27.23
 2015/2/24 8:00 27.41
 2015/2/24 9:00 27.10
2015/2/24 10:00 26.98
2015/2/24 11:00 26.74
2015/2/24 12:00 26.50
2015/2/24 13:00 26.49
2015/2/24 14:00 26.54
2015/2/24 15:00 26.46
2015/2/24 16:00 26.50
2015/2/24 17:00 26.90
2015/2/24 18:00 27.07
2015/2/24 19:00 26.59
2015/2/24 20:00 26.17
2015/2/24 21:00 25.92
2015/2/24 22:00 25.37
2015/2/24 23:00 24.64
 2015/2/25 0:00 23.66
 2015/2/25 1:00 23.25
 2015/2/25 2:00 23.10
 2015/2/25 3:00 23.39
 2015/2/25 4:00 24.19
 2015/2/25 5:00 25.33
 2015/2/25 6:00 26.31
 2015/2/25 7:00 27.55
 2015/2/25 8:00 27.97
 2015/2/25 9:00 27.91
2015/2/25 10:00 27.80
2015/2/25 11:00 27.32
2015/2/25 12:00 27.22
2015/2/25 13:00 27.12
2015/2/25 14:00 27.22
2015/2/25 15:00 27.21
2015/2/25 16:00 27.31
2015/2/25 17:00 28.39
2015/2/25 18:00 32.94
2015/2/25 19:00 28.55
2015/2/25 20:00 27.34
2015/2/25 21:00 26.83
2015/2/25 22:00 26.44
2015/2/25 23:00 25.96
 2015/2/26 0:00 25.64
 2015/2/26 1:00 25.26
 2015/2/26 2:00 25.07
 2015/2/26 3:00 25.08
 2015/2/26 4:00 25.55
 2015/2/26 5:00 26.13
 2015/2/26 6:00 26.92
 2015/2/26 7:00 28.92
 2015/2/26 8:00 29.13
 2015/2/26 9:00 28.00
2015/2/26 10:00 27.42
2015/2/26 11:00 26.82
2015/2/26 12:00 26.45
2015/2/26 13:00 26.34
2015/2/26 14:00 26.28
2015/2/26 15:00 26.16
2015/2/26 16:00 26.22
2015/2/26 17:00 26.71
2015/2/26 18:00 26.80
2015/2/26 19:00 26.29
2015/2/26 20:00 25.99
2015/2/26 21:00 25.62
2015/2/26 22:00 25.14
2015/2/26 23:00 24.09
 2015/2/27 0:00 22.22
 2015/2/27 1:00 21.95
 2015/2/27 2:00 22.02
 2015/2/27 3:00 23.00
 2015/2/27 4:00 24.21
 2015/2/27 5:00 25.30
 2015/2/27 6:00 26.43
 2015/2/27 7:00 26.97
 2015/2/27 8:00 27.36
 2015/2/27 9:00 27.29
2015/2/27 10:00 27.24
2015/2/27 11:00 26.85
2015/2/27 12:00 26.64
2015/2/27 13:00 26.54
2015/2/27 14:00 26.52
2015/2/27 15:00 26.43
2015/2/27 16:00 26.56
2015/2/27 17:00 27.00
2015/2/27 18:00 27.60
2015/2/27 19:00 26.80
2015/2/27 20:00 26.19
2015/2/27 21:00 26.07
2015/2/27 22:00 25.72
2015/2/27 23:00 25.28
 2015/2/28 0:00 25.91
 2015/2/28 1:00 25.42
 2015/2/28 2:00 25.10
 2015/2/28 3:00 25.10
 2015/2/28 4:00 25.16
 2015/2/28 5:00 25.50
 2015/2/28 6:00 25.53
 2015/2/28 7:00 26.08
 2015/2/28 8:00 26.37
 2015/2/28 9:00 26.41
2015/2/28 10:00 26.42
2015/2/28 11:00 26.23
2015/2/28 12:00 25.65
2015/2/28 13:00 24.83
2015/2/28 14:00 24.80
2015/2/28 15:00 24.91
2015/2/28 16:00 25.33
2015/2/28 17:00 26.16
2015/2/28 18:00 26.31
2015/2/28 19:00 25.76
2015/2/28 20:00 24.89
2015/2/28 21:00 23.90
2015/2/28 22:00 23.09
2015/2/28 23:00 22.28
  2015/3/1 0:00 22.53
  2015/3/1 1:00 21.68
  2015/3/1 2:00 21.11
  2015/3/1 3:00 20.87
  2015/3/1 4:00 20.17
  2015/3/1 5:00 19.77
  2015/3/1 6:00 19.78
  2015/3/1 7:00 19.91
  2015/3/1 8:00 21.75
  2015/3/1 9:00 23.07
 2015/3/1 10:00 23.76
 2015/3/1 11:00 24.01
 2015/3/1 12:00 23.33
 2015/3/1 13:00 23.26
 2015/3/1 14:00 23.02
 2015/3/1 15:00 23.32
 2015/3/1 16:00 24.12
 2015/3/1 17:00 25.03
 2015/3/1 18:00 25.70
 2015/3/1 19:00 25.66
 2015/3/1 20:00 24.88
 2015/3/1 21:00 24.35
 2015/3/1 22:00 23.95
 2015/3/1 23:00 22.73
  2015/3/2 0:00 22.02
  2015/3/2 1:00 20.59
  2015/3/2 2:00 20.53
  2015/3/2 3:00 21.54
  2015/3/2 4:00 22.69
  2015/3/2 5:00 24.15
  2015/3/2 6:00 26.50
  2015/3/2 7:00 27.21
  2015/3/2 8:00 27.49
  2015/3/2 9:00 27.24
 2015/3/2 10:00 27.15
 2015/3/2 11:00 26.86
 2015/3/2 12:00 26.28
 2015/3/2 13:00 26.13
 2015/3/2 14:00 26.31
 2015/3/2 15:00 26.50
 2015/3/2 16:00 26.56
 2015/3/2 17:00 26.98
 2015/3/2 18:00 27.23
 2015/3/2 19:00 26.75
 2015/3/2 20:00 26.23
 2015/3/2 21:00 25.86
 2015/3/2 22:00 24.96
 2015/3/2 23:00 23.90And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
