You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2013/9/3 0:00 33.63
 2013/9/3 1:00 33.04
 2013/9/3 2:00 33.02
 2013/9/3 3:00 33.06
 2013/9/3 4:00 33.59
 2013/9/3 5:00 34.75
 2013/9/3 6:00 37.26
 2013/9/3 7:00 39.45
 2013/9/3 8:00 40.75
 2013/9/3 9:00 42.30
2013/9/3 10:00 42.26
2013/9/3 11:00 41.68
2013/9/3 12:00 41.45
2013/9/3 13:00 39.73
2013/9/3 14:00 39.52
2013/9/3 15:00 39.45
2013/9/3 16:00 38.80
2013/9/3 17:00 39.23
2013/9/3 18:00 38.84
2013/9/3 19:00 38.68
2013/9/3 20:00 39.45
2013/9/3 21:00 38.47
2013/9/3 22:00 37.70
2013/9/3 23:00 36.82
 2013/9/4 0:00 35.28
 2013/9/4 1:00 34.79
 2013/9/4 2:00 34.61
 2013/9/4 3:00 34.35
 2013/9/4 4:00 34.58
 2013/9/4 5:00 35.85
 2013/9/4 6:00 38.80
 2013/9/4 7:00 40.94
 2013/9/4 8:00 42.90
 2013/9/4 9:00 43.28
2013/9/4 10:00 41.77
2013/9/4 11:00 41.55
2013/9/4 12:00 40.89
2013/9/4 13:00 40.52
2013/9/4 14:00 40.49
2013/9/4 15:00 40.26
2013/9/4 16:00 40.29
2013/9/4 17:00 39.90
2013/9/4 18:00 39.74
2013/9/4 19:00 39.93
2013/9/4 20:00 40.23
2013/9/4 21:00 39.21
2013/9/4 22:00 38.44
2013/9/4 23:00 36.39
 2013/9/5 0:00 35.80
 2013/9/5 1:00 35.49
 2013/9/5 2:00 35.28
 2013/9/5 3:00 35.16
 2013/9/5 4:00 35.50
 2013/9/5 5:00 36.02
 2013/9/5 6:00 38.58
 2013/9/5 7:00 41.39
 2013/9/5 8:00 43.64
 2013/9/5 9:00 44.20
2013/9/5 10:00 43.31
2013/9/5 11:00 42.92
2013/9/5 12:00 41.08
2013/9/5 13:00 38.68
2013/9/5 14:00 38.54
2013/9/5 15:00 38.78
2013/9/5 16:00 39.15
2013/9/5 17:00 39.55
2013/9/5 18:00 39.17
2013/9/5 19:00 39.58
2013/9/5 20:00 40.04
2013/9/5 21:00 38.65
2013/9/5 22:00 36.82
2013/9/5 23:00 35.41
 2013/9/6 0:00 34.64
 2013/9/6 1:00 34.42
 2013/9/6 2:00 34.04
 2013/9/6 3:00 34.02
 2013/9/6 4:00 34.37
 2013/9/6 5:00 35.63
 2013/9/6 6:00 38.01
 2013/9/6 7:00 40.09
 2013/9/6 8:00 41.33
 2013/9/6 9:00 40.81
2013/9/6 10:00 39.71
2013/9/6 11:00 38.37
2013/9/6 12:00 37.41
2013/9/6 13:00 36.83
2013/9/6 14:00 35.99
2013/9/6 15:00 35.85
2013/9/6 16:00 36.14
2013/9/6 17:00 37.18
2013/9/6 18:00 37.63
2013/9/6 19:00 37.68
2013/9/6 20:00 38.21
2013/9/6 21:00 37.31
2013/9/6 22:00 35.69
2013/9/6 23:00 34.69
 2013/9/7 0:00 35.33
 2013/9/7 1:00 34.17
 2013/9/7 2:00 34.08
 2013/9/7 3:00 34.13
 2013/9/7 4:00 34.21
 2013/9/7 5:00 34.81
 2013/9/7 6:00 35.66
 2013/9/7 7:00 36.57
 2013/9/7 8:00 37.21
 2013/9/7 9:00 38.37
2013/9/7 10:00 37.93
2013/9/7 11:00 38.05
2013/9/7 12:00 37.13
2013/9/7 13:00 36.46
2013/9/7 14:00 36.21
2013/9/7 15:00 36.20
2013/9/7 16:00 36.91
2013/9/7 17:00 37.38
2013/9/7 18:00 38.71
2013/9/7 19:00 39.26
2013/9/7 20:00 39.78
2013/9/7 21:00 38.42
2013/9/7 22:00 37.20
2013/9/7 23:00 36.39
 2013/9/8 0:00 35.66
 2013/9/8 1:00 35.43
 2013/9/8 2:00 35.26
 2013/9/8 3:00 35.16
 2013/9/8 4:00 35.12
 2013/9/8 5:00 35.08
 2013/9/8 6:00 35.11
 2013/9/8 7:00 35.24
 2013/9/8 8:00 35.66
 2013/9/8 9:00 35.94
2013/9/8 10:00 36.19
2013/9/8 11:00 35.99
2013/9/8 12:00 35.64
2013/9/8 13:00 35.50
2013/9/8 14:00 35.33
2013/9/8 15:00 35.27
2013/9/8 16:00 35.37
2013/9/8 17:00 35.69
2013/9/8 18:00 36.94
2013/9/8 19:00 37.81
2013/9/8 20:00 39.08
2013/9/8 21:00 37.60
2013/9/8 22:00 37.04
2013/9/8 23:00 36.23
 2013/9/9 0:00 35.47
 2013/9/9 1:00 35.02
 2013/9/9 2:00 35.12
 2013/9/9 3:00 35.11
 2013/9/9 4:00 35.33
 2013/9/9 5:00 36.17
 2013/9/9 6:00 38.76
 2013/9/9 7:00 43.51
 2013/9/9 8:00 45.86
 2013/9/9 9:00 46.11
2013/9/9 10:00 46.00
2013/9/9 11:00 45.94
2013/9/9 12:00 44.06
2013/9/9 13:00 43.97
2013/9/9 14:00 41.61
2013/9/9 15:00 40.86
2013/9/9 16:00 40.71
2013/9/9 17:00 41.15
2013/9/9 18:00 42.27
2013/9/9 19:00 42.25
2013/9/9 20:00 43.26
2013/9/9 21:00 41.10
2013/9/9 22:00 38.71
2013/9/9 23:00 36.16And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
