You are an expert in short-term electricity price forecasting. The dataset comes from the Nord Pool electricity market and contains hourly records of grid load forecasts, wind power forecasts, and observed electricity prices. Here is the Observed Nord Pool electricity price (€/MWh, 1-hour resolution) time series. I will now give you data for the past 168 recorded hours, and please forecast the data for the next 24 recorded hours. Please note that some data may contain missing values, so handle them carefully. Please provide the complete forecast for the next 24 hours without omitting any values. You must give the full sequence — do not skip or summarize any values.

Below is the recent historical data:
          date    OT
 2013/1/1 0:00 31.05
 2013/1/1 1:00 30.47
 2013/1/1 2:00 28.92
 2013/1/1 3:00 27.88
 2013/1/1 4:00 26.96
 2013/1/1 5:00 27.84
 2013/1/1 6:00 28.79
 2013/1/1 7:00 28.63
 2013/1/1 8:00 28.44
 2013/1/1 9:00 28.30
2013/1/1 10:00 30.65
2013/1/1 11:00 31.55
2013/1/1 12:00 32.16
2013/1/1 13:00 32.45
2013/1/1 14:00 32.63
2013/1/1 15:00 33.65
2013/1/1 16:00 34.90
2013/1/1 17:00 36.22
2013/1/1 18:00 36.65
2013/1/1 19:00 36.37
2013/1/1 20:00 35.49
2013/1/1 21:00 34.41
2013/1/1 22:00 34.66
2013/1/1 23:00 32.55
 2013/1/2 0:00 33.15
 2013/1/2 1:00 32.66
 2013/1/2 2:00 31.83
 2013/1/2 3:00 31.47
 2013/1/2 4:00 32.56
 2013/1/2 5:00 34.36
 2013/1/2 6:00 36.28
 2013/1/2 7:00 38.39
 2013/1/2 8:00 39.09
 2013/1/2 9:00 38.33
2013/1/2 10:00 38.42
2013/1/2 11:00 38.25
2013/1/2 12:00 37.96
2013/1/2 13:00 37.89
2013/1/2 14:00 37.88
2013/1/2 15:00 38.78
2013/1/2 16:00 39.83
2013/1/2 17:00 39.91
2013/1/2 18:00 39.32
2013/1/2 19:00 38.49
2013/1/2 20:00 37.46
2013/1/2 21:00 36.94
2013/1/2 22:00 36.37
2013/1/2 23:00 34.59
 2013/1/3 0:00 33.11
 2013/1/3 1:00 32.22
 2013/1/3 2:00 31.46
 2013/1/3 3:00 31.67
 2013/1/3 4:00 32.05
 2013/1/3 5:00 33.67
 2013/1/3 6:00 34.93
 2013/1/3 7:00 35.82
 2013/1/3 8:00 36.38
 2013/1/3 9:00 36.52
2013/1/3 10:00 36.71
2013/1/3 11:00 36.60
2013/1/3 12:00 36.51
2013/1/3 13:00 36.40
2013/1/3 14:00 36.42
2013/1/3 15:00 36.58
2013/1/3 16:00 36.94
2013/1/3 17:00 36.94
2013/1/3 18:00 36.81
2013/1/3 19:00 36.43
2013/1/3 20:00 35.91
2013/1/3 21:00 35.45
2013/1/3 22:00 34.77
2013/1/3 23:00 32.09
 2013/1/4 0:00 31.71
 2013/1/4 1:00 30.86
 2013/1/4 2:00 30.21
 2013/1/4 3:00 30.36
 2013/1/4 4:00 30.89
 2013/1/4 5:00 32.21
 2013/1/4 6:00 34.33
 2013/1/4 7:00 35.98
 2013/1/4 8:00 36.72
 2013/1/4 9:00 36.68
2013/1/4 10:00 36.80
2013/1/4 11:00 36.64
2013/1/4 12:00 36.44
2013/1/4 13:00 36.31
2013/1/4 14:00 35.83
2013/1/4 15:00 36.12
2013/1/4 16:00 36.80
2013/1/4 17:00 37.29
2013/1/4 18:00 37.15
2013/1/4 19:00 36.47
2013/1/4 20:00 36.03
2013/1/4 21:00 35.43
2013/1/4 22:00 35.17
2013/1/4 23:00 32.95
 2013/1/5 0:00 33.69
 2013/1/5 1:00 32.71
 2013/1/5 2:00 32.09
 2013/1/5 3:00 32.17
 2013/1/5 4:00 32.73
 2013/1/5 5:00 33.77
 2013/1/5 6:00 34.03
 2013/1/5 7:00 33.98
 2013/1/5 8:00 34.45
 2013/1/5 9:00 36.12
2013/1/5 10:00 36.69
2013/1/5 11:00 36.74
2013/1/5 12:00 36.52
2013/1/5 13:00 36.12
2013/1/5 14:00 36.14
2013/1/5 15:00 36.78
2013/1/5 16:00 37.71
2013/1/5 17:00 38.37
2013/1/5 18:00 37.99
2013/1/5 19:00 36.94
2013/1/5 20:00 36.24
2013/1/5 21:00 35.89
2013/1/5 22:00 35.70
2013/1/5 23:00 35.44
 2013/1/6 0:00 34.87
 2013/1/6 1:00 33.05
 2013/1/6 2:00 32.25
 2013/1/6 3:00 32.41
 2013/1/6 4:00 32.45
 2013/1/6 5:00 32.80
 2013/1/6 6:00 33.27
 2013/1/6 7:00 32.97
 2013/1/6 8:00 33.65
 2013/1/6 9:00 34.25
2013/1/6 10:00 35.01
2013/1/6 11:00 35.94
2013/1/6 12:00 35.79
2013/1/6 13:00 35.02
2013/1/6 14:00 34.85
2013/1/6 15:00 35.18
2013/1/6 16:00 35.90
2013/1/6 17:00 37.09
2013/1/6 18:00 37.65
2013/1/6 19:00 37.39
2013/1/6 20:00 36.99
2013/1/6 21:00 36.10
2013/1/6 22:00 36.00
2013/1/6 23:00 34.93
 2013/1/7 0:00 34.97
 2013/1/7 1:00 33.71
 2013/1/7 2:00 33.13
 2013/1/7 3:00 33.23
 2013/1/7 4:00 34.10
 2013/1/7 5:00 35.68
 2013/1/7 6:00 38.51
 2013/1/7 7:00 40.66
 2013/1/7 8:00 42.48
 2013/1/7 9:00 42.08
2013/1/7 10:00 41.97
2013/1/7 11:00 41.37
2013/1/7 12:00 40.30
2013/1/7 13:00 39.96
2013/1/7 14:00 40.17
2013/1/7 15:00 41.60
2013/1/7 16:00 42.37
2013/1/7 17:00 41.93
2013/1/7 18:00 39.97
2013/1/7 19:00 38.90
2013/1/7 20:00 37.92
2013/1/7 21:00 37.47
2013/1/7 22:00 36.49
2013/1/7 23:00 35.55And your final answer must follow the format
    <answer>
        
```

        ...
        
```

        </answer>
    Please obey the format strictly. And you must give me the complete answer.
    
